epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.331,0.56601,1.20228,1.07757,0.98086,0.95675,0.97456,0.83588,0.48103,0.63216,0.98979,0.000335316,0.000335316,0.0671958
2,434.235,0.47928,0.59848,1.0422,0.97719,0.96702,0.97516,0.84242,0.44609,0.50444,0.98596,0.000666142,0.000666142,0.0341933
3,650.623,0.46604,0.52323,1.0324,0.98813,0.97687,0.98114,0.85789,0.43673,0.49298,0.98502,0.000990497,0.000990497,0.0011843
4,868.507,0.44084,0.49231,1.03009,0.98531,0.9806,0.98153,0.87399,0.4014,0.43831,0.98108,0.000982715,0.000982715,0.000982715
5,1085.62,0.43258,0.46884,1.02642,0.99012,0.97625,0.98231,0.85568,0.44962,0.45158,0.98349,0.00097301,0.00097301,0.00097301
6,1302.95,0.4107,0.43073,1.02492,0.98885,0.98179,0.98688,0.88792,0.37771,0.39291,0.97031,0.000963304,0.000963304,0.000963304
7,1519.05,0.40931,0.4285,1.02851,0.99085,0.97738,0.98812,0.88833,0.36468,0.39459,0.96673,0.000953599,0.000953599,0.000953599
8,1735.93,0.40544,0.42243,1.02395,0.98934,0.98187,0.99206,0.88808,0.37192,0.37834,0.97221,0.000943893,0.000943893,0.000943893
9,1953.77,0.39059,0.40144,1.02278,0.99314,0.98009,0.98804,0.89532,0.34925,0.35827,0.96382,0.000934188,0.000934188,0.000934188
10,2171.07,0.38968,0.3917,1.02254,0.99509,0.98118,0.98719,0.88957,0.37672,0.34416,0.96365,0.000924483,0.000924483,0.000924483
11,2388.36,0.3866,0.37841,1.01559,0.99177,0.98243,0.98716,0.89636,0.35367,0.33271,0.96657,0.000914777,0.000914777,0.000914777
12,2603.83,0.36694,0.36322,1.0079,0.99308,0.98066,0.98809,0.90421,0.34521,0.33287,0.9616,0.000905072,0.000905072,0.000905072
13,2821.51,0.36908,0.36255,1.0123,0.99156,0.98022,0.98885,0.89916,0.35468,0.33687,0.96482,0.000895366,0.000895366,0.000895366
14,3038.49,0.36435,0.35341,1.01285,0.99489,0.97989,0.99046,0.90319,0.33683,0.31785,0.96028,0.000885661,0.000885661,0.000885661
15,3256.02,0.35716,0.34079,1.01258,0.99521,0.97925,0.98629,0.8982,0.35234,0.32292,0.96435,0.000875956,0.000875956,0.000875956
16,3473.37,0.35937,0.34649,1.01385,0.99473,0.9795,0.9902,0.90289,0.34843,0.33651,0.96305,0.00086625,0.00086625,0.00086625
17,3690.83,0.36495,0.3558,1.01628,0.9947,0.98132,0.99257,0.89475,0.37372,0.34388,0.96731,0.000856545,0.000856545,0.000856545
18,3909.25,0.35978,0.34489,1.01195,0.99356,0.98118,0.99239,0.90623,0.34445,0.32842,0.96278,0.000846839,0.000846839,0.000846839
19,4126.03,0.34935,0.33228,1.01234,0.99507,0.98285,0.99276,0.91346,0.32329,0.30617,0.95796,0.000837134,0.000837134,0.000837134
