epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.346,0.91141,3.23091,0.99677,0.72507,0.44891,0.54441,0.45952,0.70195,1.97894,0.89283,0.00115153,0.00115153,0.068012
2,430.445,0.74653,1.43269,0.92851,0.90694,0.91527,0.93919,0.80525,0.63486,0.85582,0.85929,0.00229075,0.00229075,0.0358179
3,645.837,0.7026,0.94179,0.90405,0.97552,0.94337,0.97126,0.84265,0.61852,0.7323,0.85136,0.00341087,0.00341087,0.00360467
4,861.715,0.67683,0.81514,0.90413,0.98628,0.95208,0.97289,0.85304,0.56983,0.66033,0.84532,0.00338884,0.00338884,0.00338884
5,1077.37,0.63626,0.75772,0.89814,0.98504,0.96342,0.97749,0.85474,0.54934,0.64251,0.84482,0.00336018,0.00336018,0.00336018
6,1292.53,0.61275,0.70743,0.89211,0.98974,0.96276,0.97803,0.86717,0.53454,0.5848,0.83932,0.00333153,0.00333153,0.00333153
7,1506.41,0.60697,0.66803,0.88825,0.98257,0.9647,0.97953,0.87366,0.50077,0.57988,0.83428,0.00330287,0.00330287,0.00330287
8,1720.68,0.57124,0.65018,0.88415,0.98689,0.9689,0.98068,0.87402,0.5036,0.56636,0.83593,0.00327421,0.00327421,0.00327421
9,1935.99,0.57017,0.61977,0.88742,0.98756,0.97151,0.97929,0.88301,0.4976,0.54487,0.83414,0.00324556,0.00324556,0.00324556
10,2151.24,0.5572,0.60299,0.87992,0.98564,0.97344,0.98023,0.87466,0.50151,0.54183,0.83324,0.0032169,0.0032169,0.0032169
11,2366.43,0.54834,0.58884,0.88082,0.98456,0.97458,0.98126,0.88696,0.4784,0.52978,0.83019,0.00318825,0.00318825,0.00318825
12,2580.96,0.54861,0.57823,0.8827,0.98447,0.97289,0.98222,0.88205,0.4901,0.50701,0.83035,0.00315959,0.00315959,0.00315959
13,2797.71,0.53857,0.56835,0.87786,0.98655,0.97391,0.98399,0.8922,0.46836,0.50417,0.82886,0.00313093,0.00313093,0.00313093
14,3013.99,0.52866,0.5551,0.8795,0.99236,0.9703,0.9812,0.89247,0.45709,0.48615,0.82723,0.00310228,0.00310228,0.00310228
15,3229.37,0.52871,0.54769,0.87454,0.98741,0.97719,0.9827,0.89283,0.46275,0.47087,0.82782,0.00307362,0.00307362,0.00307362
16,3444.53,0.52218,0.54358,0.87693,0.989,0.97539,0.98227,0.89434,0.44288,0.47251,0.8268,0.00304497,0.00304497,0.00304497
17,3659.61,0.50628,0.53599,0.87444,0.9842,0.97827,0.98214,0.8911,0.44902,0.48168,0.82683,0.00301631,0.00301631,0.00301631
18,3875.37,0.50831,0.53041,0.87289,0.98622,0.97577,0.98417,0.90019,0.43986,0.45905,0.82423,0.00298765,0.00298765,0.00298765
19,4090.92,0.51012,0.52058,0.87542,0.99165,0.97396,0.98344,0.89539,0.45076,0.45833,0.82418,0.002959,0.002959,0.002959
20,4305.86,0.50818,0.51557,0.87561,0.99205,0.97353,0.98383,0.89722,0.44957,0.44161,0.82739,0.00293034,0.00293034,0.00293034
21,4520.18,0.5112,0.51735,0.87557,0.99183,0.97464,0.98417,0.89964,0.44582,0.45674,0.82439,0.00290169,0.00290169,0.00290169
22,4735.64,0.49632,0.50416,0.87107,0.99199,0.97371,0.98446,0.90241,0.42339,0.43802,0.82278,0.00287303,0.00287303,0.00287303
23,4950.85,0.49503,0.50866,0.87233,0.9878,0.97598,0.98602,0.90638,0.42434,0.44552,0.8219,0.00284438,0.00284438,0.00284438
24,5167,0.48313,0.50185,0.87369,0.99347,0.97347,0.98507,0.90199,0.42452,0.43844,0.82329,0.00281572,0.00281572,0.00281572
25,5382.22,0.4772,0.4848,0.86756,0.99337,0.97788,0.98513,0.9023,0.42111,0.43945,0.82055,0.00278706,0.00278706,0.00278706
26,5597.24,0.47977,0.4881,0.87202,0.99089,0.97895,0.9847,0.9024,0.42423,0.42021,0.82159,0.00275841,0.00275841,0.00275841
27,5811.22,0.47594,0.47593,0.87129,0.99333,0.97911,0.98519,0.90392,0.42292,0.42299,0.822,0.00272975,0.00272975,0.00272975
28,6026.94,0.47064,0.47748,0.86905,0.99311,0.97886,0.98518,0.90395,0.42857,0.42553,0.82178,0.0027011,0.0027011,0.0027011
29,6242.46,0.47661,0.48588,0.87261,0.99388,0.9805,0.98544,0.90532,0.41846,0.42851,0.82066,0.00267244,0.00267244,0.00267244
30,6458.23,0.4647,0.47815,0.86866,0.99303,0.97823,0.98571,0.91003,0.41124,0.40994,0.82116,0.00264378,0.00264378,0.00264378
31,6674.14,0.46375,0.45716,0.86705,0.99455,0.97797,0.9853,0.90791,0.41824,0.40831,0.81995,0.00261513,0.00261513,0.00261513
32,6888.57,0.4687,0.4639,0.86999,0.99419,0.97819,0.98487,0.90666,0.41331,0.4126,0.81989,0.00258647,0.00258647,0.00258647
33,7131.57,0.4617,0.46442,0.87166,0.99395,0.97791,0.98679,0.907,0.41231,0.41132,0.82029,0.00255782,0.00255782,0.00255782
34,7349.32,0.46136,0.4539,0.86953,0.99346,0.98102,0.98511,0.91088,0.41237,0.40412,0.81969,0.00252916,0.00252916,0.00252916
35,7565.98,0.45204,0.44953,0.86115,0.99277,0.98108,0.9853,0.90691,0.4185,0.40706,0.82001,0.0025005,0.0025005,0.0025005
36,7783.57,0.44914,0.45267,0.86513,0.99503,0.98337,0.98667,0.91257,0.40255,0.39633,0.818,0.00247185,0.00247185,0.00247185
37,7998.29,0.45376,0.44753,0.86988,0.99238,0.98197,0.98581,0.91052,0.39957,0.39576,0.81932,0.00244319,0.00244319,0.00244319
38,8215.08,0.44404,0.44934,0.86455,0.99412,0.98189,0.98571,0.90998,0.40766,0.40129,0.81817,0.00241454,0.00241454,0.00241454
39,8431.26,0.45759,0.43552,0.86568,0.99685,0.97781,0.98742,0.91052,0.40318,0.3888,0.81725,0.00238588,0.00238588,0.00238588
40,8645.66,0.44537,0.43622,0.86546,0.99529,0.98011,0.98526,0.90829,0.40173,0.39359,0.81793,0.00235722,0.00235722,0.00235722
41,8862.38,0.4449,0.4354,0.86367,0.9942,0.98261,0.98699,0.91234,0.39984,0.39265,0.81694,0.00232857,0.00232857,0.00232857
42,9077.45,0.44327,0.43331,0.86312,0.9948,0.98103,0.98831,0.915,0.39325,0.3802,0.81568,0.00229991,0.00229991,0.00229991
