epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.249,1.13162,4.73707,0.77661,0.64313,0.36215,0.41078,0.34723,0.81413,3.64705,0.69281,0.000584303,0.000584303,0.0674448
2,521.904,0.90644,2.68683,0.73125,0.72403,0.78741,0.78907,0.66592,0.76884,1.58628,0.67782,0.00116256,0.00116256,0.0346897
3,816.758,0.81359,1.5566,0.70506,0.92888,0.92477,0.94691,0.82223,0.68088,1.12745,0.65924,0.00173131,0.00173131,0.00192511
4,1092.99,0.75115,1.21179,0.69265,0.97363,0.94675,0.97009,0.85975,0.62823,0.93322,0.6518,0.00172043,0.00172043,0.00172043
5,1376.32,0.69935,1.06217,0.68507,0.98467,0.95795,0.9738,0.86878,0.60317,0.85345,0.64594,0.00170619,0.00170619,0.00170619
6,1644.97,0.6799,0.98009,0.68066,0.98568,0.9668,0.97654,0.88223,0.56739,0.81237,0.63985,0.00169195,0.00169195,0.00169195
7,2002.87,0.63915,0.91338,0.67899,0.98453,0.97163,0.97879,0.88376,0.55248,0.78424,0.63996,0.00167771,0.00167771,0.00167771
8,2261.08,0.61958,0.87213,0.67357,0.98961,0.96847,0.97978,0.88653,0.54699,0.74604,0.63953,0.00166347,0.00166347,0.00166347
9,2488.8,0.61152,0.83693,0.67059,0.98694,0.97197,0.97878,0.88649,0.53964,0.7284,0.63635,0.00164922,0.00164922,0.00164922
10,2719.53,0.60228,0.80977,0.67088,0.99,0.9777,0.9812,0.89195,0.52959,0.70371,0.63586,0.00163498,0.00163498,0.00163498
11,2948.8,0.57929,0.76926,0.66814,0.98759,0.97807,0.98248,0.89329,0.51415,0.68759,0.6357,0.00162074,0.00162074,0.00162074
12,3177.27,0.5759,0.75999,0.66673,0.9862,0.97896,0.98302,0.89769,0.51173,0.65747,0.63273,0.0016065,0.0016065,0.0016065
13,3403.62,0.56212,0.73006,0.66389,0.99032,0.9761,0.98314,0.89809,0.50618,0.64838,0.63242,0.00159225,0.00159225,0.00159225
14,3629.94,0.55959,0.71933,0.66411,0.98417,0.98034,0.98382,0.89642,0.51092,0.62244,0.63303,0.00157801,0.00157801,0.00157801
15,3854.7,0.56167,0.7076,0.6691,0.98669,0.97757,0.98375,0.90038,0.49802,0.61159,0.63295,0.00156377,0.00156377,0.00156377
16,4079.48,0.53823,0.68313,0.66592,0.98723,0.97878,0.98377,0.9003,0.49536,0.6133,0.63208,0.00154953,0.00154953,0.00154953
17,4302.97,0.53807,0.6742,0.66241,0.98852,0.9801,0.98335,0.90268,0.49477,0.59321,0.63121,0.00153529,0.00153529,0.00153529
18,4527.72,0.53124,0.65869,0.66281,0.98447,0.98161,0.98405,0.90413,0.48816,0.58297,0.63042,0.00152104,0.00152104,0.00152104
19,4750.54,0.52894,0.66079,0.66198,0.98811,0.98173,0.98569,0.90161,0.4895,0.57646,0.63144,0.0015068,0.0015068,0.0015068
20,4974.74,0.52997,0.64263,0.66183,0.99031,0.97736,0.98264,0.90051,0.49032,0.56918,0.63132,0.00149256,0.00149256,0.00149256
21,5196.54,0.5273,0.63415,0.66216,0.99216,0.98065,0.98544,0.90656,0.47714,0.56006,0.62919,0.00147832,0.00147832,0.00147832
22,5417.77,0.53047,0.62905,0.66067,0.98773,0.98219,0.98599,0.91007,0.46708,0.55084,0.62924,0.00146407,0.00146407,0.00146407
23,5640.2,0.52476,0.62791,0.6604,0.98869,0.9819,0.98739,0.91151,0.46349,0.54708,0.628,0.00144983,0.00144983,0.00144983
24,5863.62,0.52011,0.61477,0.66037,0.99345,0.97909,0.985,0.90771,0.47364,0.53515,0.62904,0.00143559,0.00143559,0.00143559
25,6085.52,0.51553,0.60306,0.66272,0.99192,0.98035,0.98652,0.91215,0.46158,0.52967,0.62831,0.00142135,0.00142135,0.00142135
26,6307.44,0.5107,0.59996,0.6587,0.99461,0.97727,0.9857,0.9085,0.47387,0.53886,0.62868,0.00140711,0.00140711,0.00140711
27,6530.59,0.51054,0.59341,0.6605,0.99472,0.97772,0.98433,0.9069,0.47242,0.52823,0.62874,0.00139286,0.00139286,0.00139286
28,6751.39,0.4973,0.574,0.66264,0.99444,0.97946,0.98525,0.90951,0.4616,0.52071,0.62807,0.00137862,0.00137862,0.00137862
29,6972.67,0.49791,0.56657,0.65843,0.99322,0.98019,0.98541,0.91164,0.45863,0.5137,0.62803,0.00136438,0.00136438,0.00136438
30,7194.98,0.50186,0.56958,0.65737,0.99264,0.9764,0.98526,0.91103,0.45306,0.5118,0.62768,0.00135014,0.00135014,0.00135014
31,7417.22,0.48487,0.56726,0.65975,0.99482,0.97574,0.98463,0.9087,0.45183,0.50796,0.62759,0.00133589,0.00133589,0.00133589
32,7639.23,0.48429,0.55768,0.65783,0.99401,0.9782,0.98539,0.91187,0.45472,0.50206,0.6281,0.00132165,0.00132165,0.00132165
33,7860.17,0.4916,0.55034,0.65769,0.9935,0.98046,0.98936,0.91099,0.46014,0.49669,0.62729,0.00130741,0.00130741,0.00130741
34,8081.47,0.49366,0.54949,0.65913,0.99693,0.97903,0.98869,0.91217,0.4562,0.49087,0.62684,0.00129317,0.00129317,0.00129317
35,8304.27,0.48088,0.54455,0.6571,0.99433,0.98074,0.98783,0.91665,0.45033,0.48711,0.62652,0.00127893,0.00127893,0.00127893
36,8526.33,0.4805,0.53965,0.65504,0.99714,0.97744,0.98738,0.91541,0.4463,0.48069,0.62654,0.00126468,0.00126468,0.00126468
37,8747.97,0.49445,0.54603,0.66182,0.99319,0.98111,0.98894,0.91496,0.44813,0.48657,0.62699,0.00125044,0.00125044,0.00125044
38,8969.83,0.47866,0.5273,0.65433,0.99076,0.98345,0.98761,0.91579,0.44412,0.47941,0.62735,0.0012362,0.0012362,0.0012362
39,9191.83,0.48491,0.53114,0.65447,0.99047,0.98382,0.98729,0.91895,0.43287,0.46848,0.62642,0.00122196,0.00122196,0.00122196
40,9413.66,0.47957,0.5217,0.65738,0.99063,0.98319,0.98694,0.9156,0.44375,0.47175,0.62644,0.00120771,0.00120771,0.00120771
41,9635.52,0.47982,0.51655,0.65935,0.99212,0.98285,0.98956,0.9162,0.44364,0.46623,0.62702,0.00119347,0.00119347,0.00119347
42,9858.41,0.47286,0.511,0.65676,0.99366,0.98047,0.98937,0.9183,0.43636,0.467,0.62581,0.00117923,0.00117923,0.00117923
43,10073.8,0.47408,0.50871,0.65604,0.99323,0.98119,0.98878,0.91492,0.44717,0.46477,0.62672,0.00116499,0.00116499,0.00116499
44,10288,0.47647,0.5098,0.65765,0.99431,0.97979,0.98767,0.91686,0.435,0.45773,0.62679,0.00115075,0.00115075,0.00115075
45,10501.3,0.47189,0.50288,0.65675,0.99276,0.98005,0.98842,0.91678,0.44253,0.45496,0.6271,0.0011365,0.0011365,0.0011365
46,10714.7,0.4741,0.49692,0.65629,0.99311,0.98354,0.99073,0.9213,0.43568,0.44738,0.62542,0.00112226,0.00112226,0.00112226
47,10924.5,0.45645,0.49502,0.65478,0.99613,0.97949,0.9905,0.92091,0.43511,0.4465,0.62648,0.00110802,0.00110802,0.00110802
48,11134,0.46883,0.49801,0.65589,0.99197,0.98285,0.98782,0.91837,0.43743,0.4452,0.62583,0.00109378,0.00109378,0.00109378
49,11343.4,0.46812,0.48996,0.65473,0.99574,0.98156,0.99068,0.91727,0.43991,0.44791,0.62645,0.00107953,0.00107953,0.00107953
50,11552.9,0.46264,0.48982,0.65397,0.99423,0.98169,0.98902,0.91913,0.43608,0.44227,0.62552,0.00106529,0.00106529,0.00106529
51,11762.3,0.46401,0.48096,0.6541,0.99576,0.98046,0.99074,0.9204,0.43199,0.4423,0.62558,0.00105105,0.00105105,0.00105105
52,11973.2,0.45785,0.47638,0.65232,0.99467,0.98033,0.98992,0.92153,0.4422,0.44036,0.62664,0.00103681,0.00103681,0.00103681
53,12183.5,0.44686,0.48007,0.65504,0.99628,0.97878,0.9887,0.92031,0.43373,0.43603,0.62441,0.00102257,0.00102257,0.00102257
54,12394.4,0.45522,0.48399,0.65219,0.99406,0.98318,0.99007,0.92117,0.42754,0.43374,0.62476,0.00100832,0.00100832,0.00100832
55,12604.6,0.45291,0.47759,0.65567,0.99439,0.98122,0.98965,0.91918,0.43024,0.44114,0.62652,0.000994082,0.000994082,0.000994082
56,12815.7,0.45617,0.47254,0.65533,0.99575,0.98239,0.98867,0.92334,0.4272,0.43747,0.62652,0.000979839,0.000979839,0.000979839
57,13026.1,0.44479,0.46686,0.65421,0.99761,0.97989,0.99025,0.91873,0.42597,0.43153,0.6252,0.000965597,0.000965597,0.000965597
