epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.897,0.65546,1.24923,0.68846,0.95258,0.93343,0.96292,0.81837,0.524,0.61077,0.63048,0.000358104,0.000358104,0.0672186
2,498.729,0.53289,0.58826,0.65674,0.98028,0.95956,0.97452,0.84212,0.46897,0.49089,0.61827,0.000711484,0.000711484,0.0342386
3,742.051,0.49991,0.51913,0.65185,0.9766,0.9718,0.97541,0.83047,0.49226,0.49325,0.61993,0.00105803,0.00105803,0.00125183
4,970.732,0.48086,0.46447,0.64191,0.98398,0.97576,0.98064,0.86301,0.44398,0.42594,0.61188,0.00104983,0.00104983,0.00104983
5,1198.96,0.45298,0.43066,0.63968,0.98966,0.97882,0.98076,0.86359,0.42421,0.38703,0.61155,0.00103957,0.00103957,0.00103957
6,1426.04,0.44239,0.40734,0.63872,0.98711,0.9787,0.9822,0.87108,0.41196,0.37359,0.60781,0.00102932,0.00102932,0.00102932
7,1653.67,0.42748,0.38732,0.63519,0.99094,0.97717,0.98323,0.88059,0.40165,0.36231,0.60666,0.00101906,0.00101906,0.00101906
8,1937.51,0.42167,0.38,0.63546,0.98899,0.98104,0.98412,0.87333,0.40954,0.3576,0.6065,0.00100881,0.00100881,0.00100881
9,2188.33,0.40086,0.36241,0.63004,0.99004,0.98113,0.98572,0.88952,0.37351,0.32935,0.60092,0.000998552,0.000998552,0.000998552
10,2468.16,0.40341,0.35772,0.63122,0.99112,0.97793,0.98603,0.89068,0.36935,0.32366,0.60107,0.000988297,0.000988297,0.000988297
11,2764.66,0.39213,0.34321,0.62965,0.98991,0.98063,0.98341,0.88909,0.36499,0.31857,0.59899,0.000978042,0.000978042,0.000978042
12,3047.32,0.39133,0.33889,0.6278,0.99229,0.97832,0.98664,0.8939,0.35043,0.30273,0.59672,0.000967787,0.000967787,0.000967787
13,3325.76,0.39326,0.33379,0.63039,0.99094,0.98225,0.9863,0.88562,0.36619,0.30539,0.59937,0.000957532,0.000957532,0.000957532
14,3595.51,0.38115,0.32371,0.62536,0.99399,0.97951,0.98673,0.89635,0.34317,0.29026,0.59499,0.000947276,0.000947276,0.000947276
15,3855.08,0.38382,0.31987,0.62757,0.98832,0.98158,0.98418,0.89072,0.35233,0.2906,0.5959,0.000937021,0.000937021,0.000937021
16,4087.83,0.37886,0.31054,0.62552,0.99195,0.98056,0.98495,0.89496,0.35658,0.29018,0.59662,0.000926766,0.000926766,0.000926766
17,4319.72,0.37323,0.30841,0.62715,0.99072,0.98334,0.98512,0.89363,0.35264,0.28681,0.59651,0.000916511,0.000916511,0.000916511
18,4550.58,0.36471,0.29857,0.62386,0.992,0.98057,0.98398,0.89632,0.34845,0.27716,0.59609,0.000906256,0.000906256,0.000906256
19,4784.21,0.35731,0.29456,0.62228,0.99192,0.97949,0.98631,0.90525,0.33744,0.27065,0.59573,0.000896001,0.000896001,0.000896001
20,5012.31,0.36317,0.29809,0.6227,0.98768,0.98328,0.98781,0.90387,0.34435,0.27452,0.59609,0.000885746,0.000885746,0.000885746
21,5240.44,0.35949,0.29429,0.62441,0.99421,0.979,0.98622,0.89915,0.34669,0.26838,0.59436,0.000875491,0.000875491,0.000875491
22,5469.67,0.36238,0.29208,0.62365,0.99378,0.98048,0.98744,0.90429,0.33477,0.26822,0.59317,0.000865236,0.000865236,0.000865236
23,5695.8,0.35737,0.28639,0.62495,0.99354,0.98237,0.98732,0.90174,0.33687,0.26731,0.59408,0.00085498,0.00085498,0.00085498
24,5936.21,0.35872,0.2879,0.61855,0.99488,0.98154,0.9894,0.90491,0.33999,0.2693,0.59346,0.000844725,0.000844725,0.000844725
25,6176.59,0.35143,0.28405,0.62264,0.99398,0.98194,0.98854,0.90321,0.34267,0.26324,0.59491,0.00083447,0.00083447,0.00083447
26,6417.07,0.34607,0.27807,0.62273,0.98929,0.98273,0.98887,0.90568,0.33872,0.26397,0.59473,0.000824215,0.000824215,0.000824215
27,6653.38,0.35028,0.28035,0.62416,0.99332,0.9793,0.98921,0.90505,0.33264,0.25802,0.59488,0.00081396,0.00081396,0.00081396
28,6893.52,0.33815,0.27344,0.62223,0.98971,0.98267,0.98827,0.90643,0.32672,0.25634,0.59315,0.000803705,0.000803705,0.000803705
29,7132.51,0.33956,0.27374,0.62106,0.99216,0.98369,0.98904,0.90997,0.32132,0.25449,0.59258,0.00079345,0.00079345,0.00079345
30,7368,0.33425,0.26859,0.61925,0.99177,0.9833,0.99113,0.91243,0.31644,0.24393,0.59182,0.000783195,0.000783195,0.000783195
31,7598.76,0.33636,0.26834,0.61969,0.99233,0.98213,0.98747,0.91005,0.32808,0.25246,0.59232,0.000772939,0.000772939,0.000772939
32,7825.87,0.34275,0.27008,0.62032,0.99098,0.98356,0.98905,0.90712,0.33336,0.24966,0.59271,0.000762684,0.000762684,0.000762684
33,8052.53,0.34228,0.27007,0.6192,0.98876,0.98054,0.98874,0.90496,0.33279,0.25006,0.59438,0.000752429,0.000752429,0.000752429
34,8278.67,0.34939,0.2705,0.6196,0.99165,0.98579,0.9903,0.91347,0.32241,0.24158,0.59368,0.000742174,0.000742174,0.000742174
35,8514.04,0.33248,0.26016,0.61931,0.99308,0.98572,0.99197,0.91193,0.3232,0.24104,0.59246,0.000731919,0.000731919,0.000731919
36,8735.46,0.32719,0.25452,0.62144,0.99544,0.98413,0.99167,0.91351,0.31511,0.23432,0.59141,0.000721664,0.000721664,0.000721664
37,8962.65,0.32318,0.25239,0.61661,0.99218,0.98906,0.99275,0.91663,0.31656,0.23114,0.5912,0.000711409,0.000711409,0.000711409
38,9193.2,0.32629,0.25479,0.61665,0.98746,0.98949,0.99172,0.9085,0.3195,0.23755,0.59486,0.000701154,0.000701154,0.000701154
39,9425.23,0.32909,0.25282,0.61745,0.99294,0.98812,0.99067,0.91434,0.31377,0.23404,0.59353,0.000690898,0.000690898,0.000690898
40,9648.34,0.32162,0.25041,0.61556,0.99467,0.98714,0.99281,0.91942,0.30621,0.22936,0.59127,0.000680643,0.000680643,0.000680643
41,9876.37,0.31924,0.25027,0.61872,0.99382,0.98942,0.99275,0.91863,0.30491,0.2326,0.59011,0.000670388,0.000670388,0.000670388
42,10106.8,0.3244,0.25146,0.61812,0.99503,0.99045,0.99285,0.91573,0.31586,0.238,0.59155,0.000660133,0.000660133,0.000660133
43,10337.4,0.32385,0.24948,0.62137,0.99187,0.98837,0.9922,0.91429,0.31067,0.23094,0.59128,0.000649878,0.000649878,0.000649878
44,10559.4,0.31729,0.24513,0.61455,0.9954,0.98618,0.99074,0.91728,0.30477,0.22748,0.59067,0.000639623,0.000639623,0.000639623
45,10821.3,0.31261,0.24525,0.61349,0.9941,0.98873,0.99284,0.9209,0.3004,0.21909,0.59006,0.000629368,0.000629368,0.000629368
46,11045.8,0.32211,0.2464,0.61714,0.99131,0.99223,0.99259,0.9189,0.31114,0.23314,0.59221,0.000619113,0.000619113,0.000619113
47,11270.4,0.31151,0.24396,0.61435,0.9926,0.98998,0.99179,0.9194,0.30364,0.22305,0.58937,0.000608858,0.000608858,0.000608858
48,11494.2,0.31255,0.23986,0.61719,0.99503,0.98485,0.99186,0.91794,0.31268,0.22732,0.59053,0.000598602,0.000598602,0.000598602
49,11719.7,0.31285,0.242,0.61582,0.99249,0.98672,0.99187,0.91782,0.30842,0.22685,0.59058,0.000588347,0.000588347,0.000588347
50,11941.5,0.31427,0.23908,0.61905,0.99417,0.98543,0.99217,0.92206,0.30674,0.22438,0.59109,0.000578092,0.000578092,0.000578092
51,12162.2,0.3066,0.23658,0.61673,0.99333,0.98985,0.9936,0.92394,0.30039,0.22227,0.59046,0.000567837,0.000567837,0.000567837
52,12379.8,0.30248,0.23037,0.61431,0.9949,0.99199,0.99378,0.92417,0.30319,0.21724,0.58983,0.000557582,0.000557582,0.000557582
53,12593.9,0.30888,0.23509,0.61705,0.99474,0.98802,0.99244,0.92474,0.29864,0.22138,0.58973,0.000547327,0.000547327,0.000547327
54,12808.8,0.30477,0.23306,0.61293,0.9922,0.99166,0.9944,0.92244,0.29624,0.21469,0.58915,0.000537072,0.000537072,0.000537072
55,13022.5,0.30143,0.23153,0.61605,0.9918,0.98851,0.99266,0.92522,0.2996,0.21628,0.58875,0.000526817,0.000526817,0.000526817
56,13236.5,0.30231,0.23476,0.61334,0.99212,0.9924,0.99306,0.9212,0.29627,0.21856,0.58937,0.000516561,0.000516561,0.000516561
57,13447.1,0.30384,0.23255,0.61421,0.99464,0.99104,0.99297,0.92337,0.30023,0.21783,0.58878,0.000506306,0.000506306,0.000506306
58,13657.8,0.30464,0.22931,0.6147,0.99374,0.98957,0.99284,0.92045,0.30247,0.22113,0.58947,0.000496051,0.000496051,0.000496051
59,13868.4,0.2987,0.22651,0.6113,0.99172,0.98968,0.9927,0.92226,0.29818,0.22298,0.58939,0.000485796,0.000485796,0.000485796
60,14079.4,0.29301,0.22528,0.61254,0.99377,0.99011,0.99299,0.92303,0.29883,0.21697,0.59111,0.000475541,0.000475541,0.000475541
61,14289,0.29544,0.22885,0.61582,0.99201,0.98944,0.9926,0.92306,0.29371,0.21591,0.59129,0.000465286,0.000465286,0.000465286
62,14499.4,0.29747,0.22711,0.6135,0.99178,0.98774,0.99419,0.92412,0.29559,0.21935,0.59001,0.000455031,0.000455031,0.000455031
63,14710.3,0.29499,0.22413,0.61595,0.99054,0.99235,0.99385,0.92261,0.29544,0.21042,0.59048,0.000444776,0.000444776,0.000444776
64,14921,0.29751,0.2225,0.61519,0.99349,0.99121,0.99303,0.92483,0.29872,0.21321,0.58992,0.00043452,0.00043452,0.00043452
65,15131.7,0.29303,0.22012,0.61415,0.99636,0.99254,0.99312,0.92673,0.29032,0.20813,0.58894,0.000424265,0.000424265,0.000424265
66,15342,0.28952,0.21766,0.6125,0.9965,0.99088,0.99455,0.92504,0.29086,0.20847,0.58762,0.00041401,0.00041401,0.00041401
67,15554.1,0.29003,0.22008,0.61387,0.99641,0.98876,0.99313,0.92827,0.28872,0.20709,0.5882,0.000403755,0.000403755,0.000403755
68,15764.6,0.29237,0.21707,0.61201,0.99153,0.98727,0.9928,0.92331,0.28998,0.21002,0.58841,0.0003935,0.0003935,0.0003935
69,15976.3,0.29028,0.21666,0.61089,0.98975,0.98856,0.99275,0.92396,0.28561,0.20742,0.58893,0.000383245,0.000383245,0.000383245
