epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.056,0.84839,1.37231,0.90856,0.95208,0.93139,0.96421,0.8141,0.70365,0.67489,0.8318,0.000491943,0.000491943,0.0673524
2,460.106,0.69123,0.6757,0.87541,0.96709,0.96058,0.97476,0.84316,0.62422,0.58493,0.82375,0.000977045,0.000977045,0.0345042
3,689.239,0.66877,0.60521,0.87428,0.98665,0.96479,0.97999,0.85913,0.60373,0.55583,0.82527,0.0014524,0.0014524,0.0016462
4,917.204,0.63883,0.56196,0.8614,0.99241,0.96677,0.98062,0.86392,0.59193,0.51453,0.82331,0.0014406,0.0014406,0.0014406
5,1146.83,0.60623,0.52381,0.86013,0.99143,0.97075,0.98031,0.86652,0.58263,0.48445,0.81919,0.00142599,0.00142599,0.00142599
6,1375.89,0.58674,0.5005,0.85851,0.9876,0.97438,0.9833,0.8769,0.54512,0.47075,0.8099,0.00141137,0.00141137,0.00141137
7,1602.13,0.57847,0.47912,0.85928,0.98415,0.97747,0.98294,0.87653,0.54228,0.44008,0.81296,0.00139675,0.00139675,0.00139675
8,1827.67,0.55754,0.45634,0.85486,0.99391,0.97575,0.98564,0.88434,0.51904,0.42777,0.8087,0.00138213,0.00138213,0.00138213
9,2051.95,0.53607,0.44463,0.85196,0.99273,0.97584,0.98558,0.88661,0.49205,0.40105,0.80458,0.00136751,0.00136751,0.00136751
10,2277.02,0.53076,0.43077,0.84604,0.99156,0.98123,0.98746,0.89043,0.50786,0.39294,0.80458,0.00135289,0.00135289,0.00135289
11,2505.75,0.52394,0.41864,0.84277,0.98927,0.98055,0.98578,0.88764,0.50526,0.39332,0.80261,0.00133828,0.00133828,0.00133828
12,2742.53,0.52035,0.41593,0.84501,0.98974,0.97909,0.98475,0.87543,0.53739,0.39993,0.81039,0.00132366,0.00132366,0.00132366
13,2977.9,0.51522,0.40438,0.84324,0.99286,0.98187,0.98584,0.89454,0.5089,0.38114,0.8033,0.00130904,0.00130904,0.00130904
14,3213.94,0.50159,0.39099,0.84196,0.99164,0.98203,0.9864,0.89205,0.50672,0.36384,0.80442,0.00129442,0.00129442,0.00129442
15,3450.87,0.5065,0.38723,0.84352,0.99115,0.98104,0.98864,0.89591,0.47476,0.35828,0.79711,0.0012798,0.0012798,0.0012798
16,3686.98,0.4966,0.3813,0.84224,0.99059,0.98077,0.988,0.8955,0.47703,0.34752,0.79793,0.00126518,0.00126518,0.00126518
17,3904.05,0.48821,0.37063,0.83574,0.99501,0.98413,0.99097,0.90075,0.4659,0.3465,0.79643,0.00125056,0.00125056,0.00125056
18,4132.33,0.48059,0.3656,0.8374,0.9951,0.97963,0.98784,0.90633,0.44822,0.33546,0.7937,0.00123595,0.00123595,0.00123595
19,4354.38,0.46673,0.35448,0.83262,0.9933,0.9828,0.9888,0.9054,0.44646,0.32855,0.79431,0.00122133,0.00122133,0.00122133
20,4580.22,0.47178,0.35292,0.83561,0.99535,0.98167,0.98892,0.90263,0.44474,0.32214,0.79467,0.00120671,0.00120671,0.00120671
21,4801.5,0.47406,0.35037,0.83623,0.99491,0.98318,0.99092,0.90628,0.45213,0.32241,0.79512,0.00119209,0.00119209,0.00119209
22,5030.17,0.45428,0.34065,0.83104,0.99422,0.98329,0.99112,0.89921,0.45949,0.33494,0.7949,0.00117747,0.00117747,0.00117747
23,5258.02,0.46377,0.34769,0.83267,0.99065,0.98393,0.98882,0.90523,0.45149,0.32261,0.79252,0.00116285,0.00116285,0.00116285
24,5476.76,0.4647,0.34064,0.83733,0.99194,0.98422,0.98916,0.91054,0.44355,0.31694,0.79147,0.00114824,0.00114824,0.00114824
25,5700.66,0.45359,0.33714,0.83494,0.99476,0.98465,0.99144,0.90194,0.45585,0.32264,0.79211,0.00113362,0.00113362,0.00113362
26,5928.64,0.45824,0.33251,0.83293,0.99477,0.98394,0.99226,0.90589,0.45164,0.31508,0.79572,0.001119,0.001119,0.001119
27,6153.39,0.44654,0.3251,0.83273,0.98973,0.98684,0.99108,0.91354,0.4256,0.30577,0.78995,0.00110438,0.00110438,0.00110438
28,6371.24,0.45003,0.32482,0.83342,0.99483,0.98369,0.98957,0.90834,0.44249,0.31119,0.79226,0.00108976,0.00108976,0.00108976
29,6600.06,0.45623,0.32586,0.83466,0.99523,0.98564,0.99301,0.90846,0.4318,0.29854,0.79156,0.00107514,0.00107514,0.00107514
