epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,270.319,0.83453,1.43771,0.8126,0.97715,0.9682,0.9765,0.8283,0.72565,0.78797,0.75483,0.000566395,0.000566395,0.0674269
2,540.54,0.72467,0.72899,0.79357,0.9855,0.97231,0.97909,0.85229,0.62958,0.62075,0.74239,0.00112611,0.00112611,0.0346532
3,813.913,0.72415,0.66131,0.79012,0.9863,0.97367,0.9838,0.84389,0.69759,0.58759,0.75172,0.00167579,0.00167579,0.00186959
4,1055.5,0.66535,0.61396,0.78616,0.98929,0.9785,0.9855,0.87392,0.57522,0.5286,0.73536,0.00166401,0.00166401,0.00166401
5,1298.97,0.64973,0.57644,0.78766,0.98776,0.97937,0.98534,0.84958,0.63892,0.5308,0.74315,0.00164897,0.00164897,0.00164897
6,1540.65,0.64559,0.55649,0.78201,0.99161,0.97884,0.98472,0.86713,0.59346,0.51378,0.7362,0.00163393,0.00163393,0.00163393
7,1784.93,0.60791,0.52306,0.77802,0.99103,0.97802,0.98635,0.88053,0.54812,0.46568,0.73149,0.0016189,0.0016189,0.0016189
8,2022.43,0.58852,0.50826,0.77558,0.98813,0.97765,0.98404,0.8778,0.60126,0.50051,0.73727,0.00160386,0.00160386,0.00160386
9,2266.06,0.57897,0.48538,0.77437,0.99234,0.97895,0.98515,0.88663,0.54525,0.45187,0.73017,0.00158882,0.00158882,0.00158882
10,2504.08,0.58377,0.48468,0.77296,0.99439,0.97887,0.98697,0.88709,0.54878,0.43654,0.72694,0.00157378,0.00157378,0.00157378
11,2757.85,0.53912,0.45915,0.76431,0.9918,0.98002,0.98705,0.89685,0.51234,0.42691,0.72423,0.00155874,0.00155874,0.00155874
12,3008.47,0.54733,0.44855,0.76612,0.99158,0.9781,0.98726,0.88488,0.5506,0.42274,0.72761,0.00154371,0.00154371,0.00154371
13,3267.81,0.55701,0.45295,0.76864,0.99167,0.97789,0.98913,0.89365,0.51727,0.4095,0.72516,0.00152867,0.00152867,0.00152867
14,3503.23,0.537,0.43711,0.76586,0.9927,0.98094,0.98768,0.90102,0.5116,0.40657,0.72466,0.00151363,0.00151363,0.00151363
15,3740.3,0.54115,0.43805,0.76686,0.99187,0.97795,0.98701,0.8949,0.52722,0.44035,0.72771,0.00149859,0.00149859,0.00149859
16,3976.34,0.54209,0.43573,0.76476,0.98975,0.98577,0.99078,0.89669,0.50599,0.40288,0.72634,0.00148356,0.00148356,0.00148356
17,4213.77,0.52666,0.41777,0.76587,0.99289,0.9808,0.98746,0.90161,0.49512,0.38369,0.72356,0.00146852,0.00146852,0.00146852
18,4447.11,0.5256,0.41826,0.76339,0.99034,0.98288,0.98769,0.90112,0.49736,0.39232,0.72296,0.00145348,0.00145348,0.00145348
19,4680.86,0.52424,0.4153,0.76617,0.99022,0.98376,0.98769,0.90574,0.49344,0.38389,0.72397,0.00143844,0.00143844,0.00143844
20,4914.3,0.50428,0.40354,0.76464,0.99392,0.97934,0.98861,0.90842,0.46995,0.35803,0.72118,0.0014234,0.0014234,0.0014234
21,5157.12,0.50082,0.39763,0.75989,0.99379,0.986,0.99047,0.90928,0.4621,0.36272,0.71874,0.00140837,0.00140837,0.00140837
22,5405.17,0.48548,0.38743,0.75666,0.98846,0.98775,0.98864,0.90615,0.47928,0.36145,0.72095,0.00139333,0.00139333,0.00139333
23,5652.4,0.49868,0.39234,0.76118,0.99216,0.98329,0.98954,0.90888,0.47404,0.35932,0.72008,0.00137829,0.00137829,0.00137829
24,5895.59,0.49355,0.3883,0.75804,0.99171,0.9866,0.99102,0.9103,0.46481,0.35462,0.71866,0.00136325,0.00136325,0.00136325
25,6144.01,0.49623,0.38797,0.76173,0.99495,0.98166,0.9889,0.91025,0.46676,0.3507,0.71769,0.00134822,0.00134822,0.00134822
26,6393.26,0.48569,0.38036,0.75709,0.99296,0.98317,0.99183,0.90984,0.47524,0.35509,0.71777,0.00133318,0.00133318,0.00133318
27,6628.05,0.48203,0.37563,0.7563,0.9913,0.98885,0.9919,0.91292,0.45924,0.36099,0.71735,0.00131814,0.00131814,0.00131814
28,6862,0.47828,0.36977,0.75691,0.98982,0.98898,0.98958,0.91663,0.44666,0.33548,0.7153,0.0013031,0.0013031,0.0013031
29,7097.73,0.47759,0.37297,0.75815,0.99477,0.98893,0.98934,0.91289,0.46261,0.35033,0.71661,0.00128806,0.00128806,0.00128806
30,7334.58,0.47666,0.36833,0.7543,0.99506,0.98452,0.9891,0.91116,0.45216,0.33713,0.71598,0.00127303,0.00127303,0.00127303
31,7567.03,0.49078,0.37223,0.76102,0.99682,0.97996,0.98852,0.91029,0.46159,0.34682,0.71881,0.00125799,0.00125799,0.00125799
32,7801.01,0.4628,0.36004,0.7564,0.99178,0.99066,0.99211,0.91731,0.44321,0.33684,0.71473,0.00124295,0.00124295,0.00124295
33,8033.48,0.4654,0.35663,0.75451,0.99653,0.98011,0.99204,0.91815,0.4441,0.33446,0.71453,0.00122791,0.00122791,0.00122791
34,8268.81,0.45421,0.35396,0.75199,0.99175,0.98745,0.98963,0.91488,0.4732,0.35149,0.71882,0.00121288,0.00121288,0.00121288
35,8498.12,0.46813,0.36376,0.75268,0.99529,0.98437,0.99176,0.91591,0.45918,0.34471,0.71571,0.00119784,0.00119784,0.00119784
36,8732.44,0.46918,0.35972,0.75697,0.99486,0.98125,0.99017,0.91677,0.44793,0.33131,0.7155,0.0011828,0.0011828,0.0011828
37,8970.27,0.45615,0.34787,0.75691,0.98874,0.98644,0.99141,0.92044,0.44813,0.33071,0.7158,0.00116776,0.00116776,0.00116776
38,9209.21,0.45405,0.34708,0.75576,0.99396,0.97899,0.99193,0.91898,0.44057,0.32715,0.71508,0.00115273,0.00115273,0.00115273
39,9442.84,0.45734,0.34916,0.75362,0.99202,0.98353,0.99093,0.91634,0.44338,0.32234,0.71432,0.00113769,0.00113769,0.00113769
40,9677.28,0.44558,0.34712,0.75274,0.98421,0.99289,0.99257,0.92231,0.43563,0.32878,0.71538,0.00112265,0.00112265,0.00112265
41,9911,0.45131,0.3456,0.75329,0.99411,0.98223,0.99391,0.92095,0.43527,0.32005,0.71266,0.00110761,0.00110761,0.00110761
42,10149.2,0.44426,0.34312,0.75248,0.99619,0.98431,0.99193,0.92333,0.43137,0.32082,0.71244,0.00109257,0.00109257,0.00109257
43,10388.4,0.44187,0.33543,0.75249,0.99464,0.9818,0.9924,0.92447,0.43386,0.31964,0.71347,0.00107754,0.00107754,0.00107754
