epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.301,0.69552,1.2738,0.63217,0.96763,0.94976,0.97245,0.83191,0.57741,0.69337,0.58305,0.000572188,0.000572188,0.0674327
2,447.424,0.60145,0.65406,0.61492,0.97775,0.9697,0.97956,0.83912,0.5706,0.60362,0.58724,0.0011368,0.0011368,0.0346639
3,662.512,0.60329,0.61403,0.61868,0.98041,0.9757,0.98244,0.85504,0.54657,0.55569,0.58212,0.00169045,0.00169045,0.00188425
4,878.021,0.55654,0.55106,0.60843,0.98958,0.96704,0.98163,0.86564,0.4948,0.51166,0.57922,0.0016773,0.0016773,0.0016773
5,1092.83,0.53535,0.51413,0.60717,0.9897,0.97762,0.98376,0.86839,0.51074,0.47677,0.57788,0.00166086,0.00166086,0.00166086
6,1308.14,0.52489,0.49648,0.60536,0.99052,0.97885,0.98757,0.88256,0.47163,0.44201,0.57578,0.00164442,0.00164442,0.00164442
7,1523.83,0.50307,0.47887,0.60411,0.99495,0.97599,0.98688,0.87883,0.46729,0.44108,0.57321,0.00162799,0.00162799,0.00162799
8,1738.66,0.48202,0.44886,0.6011,0.99089,0.97657,0.98579,0.88587,0.43852,0.41199,0.57109,0.00161155,0.00161155,0.00161155
9,1954.98,0.48866,0.44841,0.60336,0.99335,0.97764,0.98737,0.87949,0.46447,0.4178,0.57118,0.00159512,0.00159512,0.00159512
10,2172.01,0.47571,0.43549,0.59884,0.99161,0.98301,0.99051,0.88673,0.45019,0.39044,0.57106,0.00157868,0.00157868,0.00157868
11,2387.4,0.4657,0.41976,0.59817,0.99119,0.98293,0.99034,0.89504,0.43199,0.39276,0.57003,0.00156225,0.00156225,0.00156225
12,2602.49,0.45335,0.41345,0.59821,0.99256,0.98458,0.99259,0.89776,0.42294,0.36941,0.56775,0.00154581,0.00154581,0.00154581
13,2818.09,0.44368,0.40119,0.59836,0.9927,0.98614,0.98962,0.89005,0.4191,0.37431,0.56978,0.00152937,0.00152937,0.00152937
14,3033.68,0.44107,0.3935,0.59523,0.99156,0.98388,0.99218,0.89924,0.42751,0.36179,0.5694,0.00151294,0.00151294,0.00151294
15,3250.72,0.44174,0.39298,0.59219,0.99454,0.98058,0.99135,0.89605,0.42201,0.36671,0.56957,0.0014965,0.0014965,0.0014965
16,3465.6,0.431,0.3825,0.5919,0.9927,0.98526,0.99093,0.89759,0.4344,0.36942,0.57026,0.00148007,0.00148007,0.00148007
17,3681.71,0.42824,0.38464,0.59275,0.99169,0.98522,0.9905,0.90247,0.41601,0.36015,0.56899,0.00146363,0.00146363,0.00146363
18,3896.86,0.43295,0.37888,0.59425,0.99421,0.97931,0.99039,0.89354,0.43448,0.36364,0.56728,0.0014472,0.0014472,0.0014472
19,4112.12,0.41819,0.37441,0.59386,0.99248,0.97997,0.98799,0.90682,0.40138,0.34826,0.56586,0.00143076,0.00143076,0.00143076
20,4328.49,0.41929,0.3642,0.5935,0.9934,0.97738,0.98891,0.89687,0.42376,0.35273,0.56686,0.00141432,0.00141432,0.00141432
21,4543.14,0.42461,0.36836,0.59188,0.98982,0.98746,0.99073,0.90511,0.41736,0.34867,0.56659,0.00139789,0.00139789,0.00139789
22,4758.27,0.41357,0.36096,0.59025,0.99408,0.98549,0.99327,0.90827,0.40565,0.34303,0.56662,0.00138145,0.00138145,0.00138145
23,4974.11,0.41422,0.36031,0.59293,0.99053,0.98969,0.99258,0.90803,0.40363,0.3363,0.56547,0.00136502,0.00136502,0.00136502
24,5188.78,0.40332,0.35004,0.58965,0.99335,0.9859,0.99232,0.91314,0.39497,0.33551,0.56386,0.00134858,0.00134858,0.00134858
25,5403.79,0.40748,0.35011,0.58914,0.99515,0.98648,0.99268,0.91203,0.3967,0.3293,0.56488,0.00133215,0.00133215,0.00133215
26,5619.34,0.39456,0.34047,0.5887,0.99287,0.98571,0.99418,0.91826,0.38399,0.31889,0.56357,0.00131571,0.00131571,0.00131571
27,5834.75,0.40019,0.34745,0.58864,0.98933,0.98559,0.99409,0.91791,0.37383,0.31624,0.56214,0.00129928,0.00129928,0.00129928
28,6049.22,0.38981,0.34029,0.59083,0.9951,0.98304,0.99274,0.91255,0.38854,0.33066,0.56403,0.00128284,0.00128284,0.00128284
29,6264.73,0.39131,0.34441,0.59078,0.99033,0.98811,0.99208,0.91378,0.37312,0.31886,0.56332,0.0012664,0.0012664,0.0012664
30,6480.2,0.38632,0.33106,0.58792,0.9945,0.98291,0.99219,0.9098,0.39186,0.31433,0.5631,0.00124997,0.00124997,0.00124997
31,6695.83,0.39018,0.33023,0.58375,0.99206,0.99041,0.99398,0.91552,0.37021,0.30944,0.56115,0.00123353,0.00123353,0.00123353
32,6911.82,0.37229,0.31987,0.58672,0.99382,0.98481,0.99426,0.91648,0.37794,0.31605,0.56119,0.0012171,0.0012171,0.0012171
33,7125.9,0.37749,0.32709,0.5853,0.99536,0.98511,0.9941,0.92072,0.36896,0.31263,0.56226,0.00120066,0.00120066,0.00120066
34,7340.91,0.3798,0.32822,0.58876,0.98489,0.9909,0.99379,0.91897,0.36864,0.30637,0.56106,0.00118423,0.00118423,0.00118423
35,7556.68,0.3827,0.32181,0.58753,0.99288,0.98963,0.99386,0.91923,0.38007,0.30381,0.5611,0.00116779,0.00116779,0.00116779
36,7772.8,0.37822,0.31482,0.58674,0.9961,0.98473,0.99339,0.91877,0.37213,0.30604,0.56228,0.00115135,0.00115135,0.00115135
37,7986.51,0.37651,0.31701,0.58717,0.995,0.9885,0.99371,0.92006,0.3694,0.29783,0.5605,0.00113492,0.00113492,0.00113492
38,8202.16,0.36788,0.31712,0.58253,0.99547,0.98684,0.99239,0.92227,0.37144,0.29765,0.56086,0.00111848,0.00111848,0.00111848
39,8416.21,0.37313,0.3221,0.58641,0.98932,0.99011,0.99228,0.91856,0.3762,0.30388,0.56272,0.00110205,0.00110205,0.00110205
40,8632.25,0.37112,0.31568,0.58414,0.99439,0.98602,0.99415,0.92475,0.36138,0.2997,0.56049,0.00108561,0.00108561,0.00108561
41,8847.29,0.36752,0.31656,0.5848,0.98982,0.98691,0.99436,0.924,0.35521,0.29434,0.55937,0.00106918,0.00106918,0.00106918
42,9061.31,0.37463,0.314,0.5854,0.9913,0.98554,0.99389,0.92447,0.35726,0.28833,0.56035,0.00105274,0.00105274,0.00105274
43,9276.32,0.36374,0.30809,0.58289,0.98981,0.98768,0.99427,0.92545,0.35501,0.28551,0.55939,0.00103631,0.00103631,0.00103631
44,9490.78,0.36043,0.3021,0.5831,0.98575,0.99501,0.99397,0.92299,0.35879,0.28902,0.55995,0.00101987,0.00101987,0.00101987
45,9706.38,0.36356,0.3044,0.58337,0.98587,0.99437,0.99416,0.92395,0.3647,0.28869,0.55884,0.00100343,0.00100343,0.00100343
46,9921.41,0.35686,0.29734,0.58465,0.98814,0.99133,0.99408,0.9236,0.36166,0.28636,0.5586,0.000986998,0.000986998,0.000986998
47,10136.6,0.35718,0.29596,0.58453,0.99446,0.98501,0.99259,0.92414,0.34803,0.28285,0.55836,0.000970562,0.000970562,0.000970562
48,10350.7,0.36122,0.29769,0.58254,0.99138,0.98777,0.99425,0.92878,0.34232,0.28087,0.55763,0.000954127,0.000954127,0.000954127
49,10564.4,0.35287,0.29628,0.58639,0.99104,0.98932,0.99266,0.92477,0.35513,0.28462,0.55868,0.000937691,0.000937691,0.000937691
