epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.64,0.82442,1.41582,0.86164,0.94787,0.94011,0.97279,0.84364,0.64487,0.7603,0.79253,0.000448076,0.000448076,0.0673085
2,424.133,0.68688,0.69226,0.83391,0.98032,0.97223,0.98423,0.85803,0.60396,0.60198,0.78194,0.000890051,0.000890051,0.0344172
3,636.016,0.66213,0.63038,0.83138,0.98975,0.97002,0.98331,0.86046,0.60833,0.55327,0.78541,0.00132328,0.00132328,0.00151708
4,849.14,0.64336,0.57429,0.82491,0.9877,0.97799,0.98517,0.86829,0.59183,0.50889,0.78465,0.00131273,0.00131273,0.00131273
5,1062.32,0.63082,0.56124,0.82483,0.99088,0.97838,0.98523,0.88095,0.55327,0.48774,0.77928,0.00129961,0.00129961,0.00129961
6,1274.43,0.62133,0.53742,0.82385,0.99641,0.97614,0.98531,0.87655,0.56091,0.46315,0.77788,0.00128649,0.00128649,0.00128649
7,1486.31,0.57455,0.49381,0.81463,0.99303,0.97836,0.9852,0.88107,0.53304,0.44384,0.77881,0.00127337,0.00127337,0.00127337
8,1698.95,0.58522,0.48827,0.81799,0.99106,0.97689,0.98489,0.87939,0.54097,0.44932,0.7786,0.00126026,0.00126026,0.00126026
9,1912.49,0.57508,0.46803,0.81586,0.99134,0.97992,0.9857,0.88192,0.52972,0.43204,0.77742,0.00124714,0.00124714,0.00124714
10,2127.76,0.54316,0.45294,0.81369,0.99202,0.97953,0.98727,0.89664,0.49935,0.41313,0.77223,0.00123402,0.00123402,0.00123402
11,2341.07,0.52996,0.43973,0.81146,0.99463,0.9804,0.98805,0.89377,0.49187,0.39941,0.77126,0.0012209,0.0012209,0.0012209
12,2553.46,0.53861,0.43823,0.81343,0.9875,0.98071,0.9911,0.89013,0.52668,0.41632,0.77858,0.00120778,0.00120778,0.00120778
13,2766.62,0.54014,0.43322,0.81064,0.99246,0.97971,0.98704,0.89528,0.48174,0.39833,0.76909,0.00119466,0.00119466,0.00119466
14,2977.68,0.54526,0.42817,0.81308,0.99348,0.97951,0.98843,0.89633,0.50132,0.39071,0.77283,0.00118154,0.00118154,0.00118154
15,3190.71,0.50993,0.40777,0.80825,0.99367,0.98259,0.98897,0.9013,0.47449,0.37937,0.76657,0.00116842,0.00116842,0.00116842
16,3402.83,0.50748,0.40505,0.8061,0.99094,0.98377,0.9908,0.89749,0.49248,0.37628,0.76834,0.0011553,0.0011553,0.0011553
17,3616.72,0.52084,0.40643,0.8069,0.99313,0.9805,0.99144,0.90365,0.47901,0.37531,0.76755,0.00114218,0.00114218,0.00114218
18,3829.26,0.50033,0.39869,0.8072,0.99318,0.98191,0.99294,0.89543,0.49765,0.3857,0.76844,0.00112907,0.00112907,0.00112907
19,4042.67,0.49972,0.3932,0.80372,0.99228,0.98461,0.99282,0.90534,0.47552,0.35913,0.76974,0.00111595,0.00111595,0.00111595
20,4256.08,0.49516,0.39043,0.80457,0.99514,0.97741,0.98896,0.90463,0.46053,0.35454,0.76591,0.00110283,0.00110283,0.00110283
21,4468.17,0.49439,0.38205,0.80379,0.98819,0.98433,0.99237,0.903,0.46993,0.34838,0.76609,0.00108971,0.00108971,0.00108971
22,4681.54,0.48256,0.37841,0.80402,0.99339,0.98591,0.99368,0.9075,0.48059,0.35615,0.76736,0.00107659,0.00107659,0.00107659
23,4895.02,0.48555,0.38146,0.79972,0.99207,0.98063,0.99078,0.9097,0.4621,0.34931,0.76655,0.00106347,0.00106347,0.00106347
24,5108.43,0.47827,0.37085,0.80026,0.99622,0.97973,0.99047,0.91087,0.4352,0.3379,0.76314,0.00105035,0.00105035,0.00105035
25,5320.89,0.47452,0.37353,0.8003,0.99026,0.98559,0.991,0.90973,0.45697,0.34803,0.76443,0.00103723,0.00103723,0.00103723
26,5534.55,0.48595,0.37416,0.80346,0.99457,0.98164,0.99175,0.91123,0.45998,0.3451,0.76464,0.00102411,0.00102411,0.00102411
27,5746.65,0.47425,0.36873,0.80195,0.99551,0.98464,0.99241,0.92048,0.44182,0.34051,0.76349,0.00101099,0.00101099,0.00101099
28,5958.81,0.47034,0.36384,0.79907,0.99257,0.98452,0.99387,0.92039,0.43592,0.33853,0.76184,0.000997875,0.000997875,0.000997875
29,6173.33,0.46648,0.36681,0.79929,0.99278,0.98382,0.99393,0.91738,0.44461,0.33882,0.76277,0.000984756,0.000984756,0.000984756
30,6386.75,0.4709,0.3628,0.80256,0.98863,0.99194,0.99352,0.91422,0.45059,0.33448,0.76251,0.000971637,0.000971637,0.000971637
31,6598.88,0.46928,0.35744,0.79859,0.99557,0.98383,0.99315,0.91274,0.45152,0.33994,0.76216,0.000958518,0.000958518,0.000958518
32,6811.66,0.45338,0.3513,0.79503,0.9917,0.98981,0.99284,0.91722,0.44429,0.32588,0.76124,0.000945399,0.000945399,0.000945399
33,7026.33,0.46371,0.35302,0.79831,0.98904,0.98666,0.99245,0.91769,0.44201,0.3276,0.7654,0.00093228,0.00093228,0.00093228
34,7240.39,0.44631,0.33702,0.79455,0.98905,0.98692,0.99069,0.91411,0.43303,0.31704,0.76363,0.000919161,0.000919161,0.000919161
35,7453.73,0.4479,0.33945,0.7976,0.99371,0.98351,0.99243,0.91835,0.43548,0.31453,0.76176,0.000906042,0.000906042,0.000906042
36,7666.81,0.43955,0.33624,0.79449,0.99346,0.98575,0.99411,0.91617,0.4433,0.32377,0.76073,0.000892923,0.000892923,0.000892923
37,7878.98,0.44148,0.34117,0.79558,0.99412,0.98473,0.99243,0.92039,0.43159,0.32079,0.76028,0.000879804,0.000879804,0.000879804
38,8092.7,0.44112,0.33219,0.79869,0.99105,0.98424,0.99363,0.92099,0.42568,0.31108,0.76287,0.000866685,0.000866685,0.000866685
39,8306.34,0.43694,0.33539,0.79588,0.99533,0.98261,0.99389,0.92123,0.42416,0.3122,0.76055,0.000853566,0.000853566,0.000853566
40,8519.11,0.43127,0.33114,0.79375,0.98862,0.99,0.99367,0.9206,0.4156,0.30685,0.75895,0.000840447,0.000840447,0.000840447
41,8731.55,0.43118,0.33113,0.79477,0.99394,0.98557,0.994,0.92109,0.42593,0.31551,0.75943,0.000827328,0.000827328,0.000827328
42,8944.94,0.4324,0.33181,0.79419,0.99496,0.98507,0.99393,0.92065,0.42997,0.31239,0.75847,0.000814209,0.000814209,0.000814209
43,9159.13,0.44656,0.33346,0.79594,0.99186,0.98961,0.99443,0.91895,0.42081,0.30847,0.75997,0.00080109,0.00080109,0.00080109
44,9373.19,0.42921,0.31933,0.79615,0.98973,0.98908,0.99443,0.92578,0.40851,0.29583,0.75667,0.000787971,0.000787971,0.000787971
45,9587.55,0.42971,0.31988,0.79461,0.9951,0.98263,0.99416,0.92082,0.42286,0.30294,0.75837,0.000774852,0.000774852,0.000774852
46,9800.57,0.41855,0.31663,0.79233,0.99501,0.98715,0.99406,0.92605,0.41111,0.30207,0.75697,0.000761733,0.000761733,0.000761733
47,10014.9,0.42662,0.31668,0.79409,0.99324,0.98869,0.9945,0.92835,0.40577,0.2995,0.75578,0.000748614,0.000748614,0.000748614
48,10229.9,0.42968,0.31693,0.79477,0.99374,0.98667,0.99423,0.92325,0.41993,0.29948,0.75915,0.000735495,0.000735495,0.000735495
49,10444.4,0.42047,0.31564,0.7932,0.99694,0.98354,0.99405,0.9288,0.39616,0.28691,0.75593,0.000722376,0.000722376,0.000722376
50,10657.9,0.4135,0.30741,0.79285,0.99179,0.99017,0.99434,0.92528,0.40898,0.29985,0.75809,0.000709257,0.000709257,0.000709257
51,10872,0.41093,0.30749,0.79027,0.99092,0.99015,0.99409,0.9252,0.40942,0.28685,0.7584,0.000696138,0.000696138,0.000696138
52,11085.7,0.41471,0.31163,0.79066,0.99405,0.9872,0.99125,0.93202,0.39824,0.28945,0.75644,0.000683019,0.000683019,0.000683019
53,11300.1,0.40655,0.30884,0.79045,0.99449,0.98724,0.99451,0.92726,0.40734,0.28813,0.75611,0.0006699,0.0006699,0.0006699
54,11513.5,0.40559,0.30309,0.79526,0.99037,0.98643,0.99413,0.9254,0.41345,0.29418,0.7559,0.000656781,0.000656781,0.000656781
55,11726.4,0.40345,0.30091,0.79044,0.99624,0.98715,0.99466,0.92904,0.39905,0.2804,0.75646,0.000643662,0.000643662,0.000643662
56,11940.5,0.40479,0.30295,0.79033,0.99223,0.98478,0.99288,0.93051,0.39933,0.28627,0.75775,0.000630543,0.000630543,0.000630543
57,12154.4,0.41076,0.30801,0.79029,0.99421,0.9881,0.99434,0.92986,0.40123,0.28714,0.75589,0.000617424,0.000617424,0.000617424
58,12368.4,0.4034,0.30711,0.78709,0.9945,0.98733,0.99444,0.9301,0.40175,0.28481,0.75568,0.000604305,0.000604305,0.000604305
59,12582.8,0.41051,0.30103,0.79035,0.99334,0.9905,0.99429,0.93044,0.39629,0.2796,0.75562,0.000591186,0.000591186,0.000591186
60,12797.8,0.39883,0.29134,0.79025,0.99244,0.99291,0.99309,0.92754,0.40345,0.28053,0.75624,0.000578067,0.000578067,0.000578067
61,13012.4,0.39558,0.29565,0.78535,0.99255,0.99086,0.99296,0.92351,0.40585,0.28932,0.75639,0.000564948,0.000564948,0.000564948
62,13225.8,0.40466,0.30332,0.78975,0.99001,0.99317,0.99269,0.93079,0.39586,0.28279,0.75522,0.000551829,0.000551829,0.000551829
63,13439.2,0.39691,0.29184,0.78689,0.99547,0.98822,0.99438,0.92973,0.39109,0.27552,0.75536,0.00053871,0.00053871,0.00053871
64,13653.4,0.39145,0.28749,0.78606,0.99472,0.98731,0.99447,0.92645,0.40328,0.27717,0.75764,0.000525591,0.000525591,0.000525591
65,13868.3,0.39272,0.28985,0.79019,0.99618,0.98835,0.99441,0.93041,0.38681,0.27556,0.75606,0.000512472,0.000512472,0.000512472
66,14082.2,0.38722,0.28209,0.79075,0.99556,0.98865,0.99451,0.92952,0.39462,0.27849,0.75629,0.000499353,0.000499353,0.000499353
67,14295.1,0.3814,0.28638,0.78761,0.99402,0.98818,0.99295,0.92886,0.39862,0.27778,0.75638,0.000486234,0.000486234,0.000486234
68,14510.3,0.38362,0.28119,0.78887,0.99415,0.98712,0.99446,0.93232,0.39253,0.27003,0.75435,0.000473115,0.000473115,0.000473115
69,14723.6,0.38403,0.2768,0.78822,0.99381,0.98821,0.99402,0.93164,0.39018,0.27384,0.75619,0.000459996,0.000459996,0.000459996
70,14938,0.37986,0.27843,0.78508,0.99301,0.99115,0.99462,0.93011,0.38575,0.27491,0.75521,0.000446877,0.000446877,0.000446877
71,15154.1,0.37266,0.27946,0.78422,0.9933,0.99166,0.99454,0.93288,0.38667,0.27021,0.75577,0.000433758,0.000433758,0.000433758
72,15370.3,0.37994,0.27829,0.79379,0.99426,0.99042,0.99449,0.93388,0.38643,0.2661,0.75419,0.000420639,0.000420639,0.000420639
73,15585.4,0.36816,0.27358,0.78783,0.99478,0.98847,0.99455,0.9331,0.37816,0.2674,0.75402,0.00040752,0.00040752,0.00040752
74,15800.6,0.37747,0.27534,0.78734,0.99073,0.9948,0.99462,0.9337,0.38818,0.26777,0.75454,0.000394401,0.000394401,0.000394401
75,16014.1,0.36526,0.26906,0.786,0.98851,0.99494,0.99467,0.93294,0.38741,0.26226,0.75533,0.000381282,0.000381282,0.000381282
76,16228.2,0.36642,0.27382,0.78602,0.99146,0.98668,0.99438,0.93446,0.39063,0.27124,0.75516,0.000368163,0.000368163,0.000368163
77,16442.2,0.37279,0.27334,0.78701,0.98629,0.99246,0.99454,0.93623,0.37977,0.26643,0.75289,0.000355044,0.000355044,0.000355044
