epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.435,1.12946,4.40703,1.23558,0.49553,0.08208,0.28051,0.22673,0.84148,3.85608,1.10245,0.000387721,0.000387721,0.0672482
2,427.107,0.88095,3.05587,1.15635,0.80369,0.51852,0.65781,0.56216,0.71194,1.84533,1.05479,0.000771033,0.000771033,0.0342982
3,639.975,0.80893,1.79348,1.12159,0.81921,0.89217,0.91066,0.78976,0.65965,1.16295,1.03542,0.00114765,0.00114765,0.00134145
4,851.703,0.74678,1.28722,1.09195,0.95049,0.91256,0.95131,0.84395,0.59361,0.9509,1.01699,0.00113983,0.00113983,0.00113983
5,1063.48,0.68897,1.08584,1.08093,0.96974,0.94426,0.96786,0.85977,0.57611,0.83311,1.01485,0.00112979,0.00112979,0.00112979
6,1275.99,0.64682,0.97202,1.06797,0.98248,0.95632,0.97442,0.87589,0.55712,0.77633,1.01072,0.00111975,0.00111975,0.00111975
7,1487.67,0.63099,0.90368,1.05942,0.98578,0.96138,0.97421,0.87407,0.54134,0.74476,1.00706,0.0011097,0.0011097,0.0011097
8,1700.74,0.60802,0.86052,1.05353,0.98441,0.96415,0.97639,0.88119,0.53105,0.71907,1.0031,0.00109966,0.00109966,0.00109966
9,1913.92,0.59386,0.82137,1.05901,0.99057,0.96618,0.9779,0.88557,0.5193,0.68553,1.00079,0.00108962,0.00108962,0.00108962
10,2125.87,0.58965,0.79122,1.04993,0.98966,0.9655,0.97825,0.88351,0.51973,0.67327,1.00029,0.00107957,0.00107957,0.00107957
11,2341.08,0.57618,0.77626,1.05476,0.98885,0.96806,0.97812,0.88854,0.50816,0.65538,0.99819,0.00106953,0.00106953,0.00106953
12,2552.71,0.56339,0.75844,1.05056,0.99088,0.96846,0.97975,0.89334,0.49811,0.64928,0.99684,0.00105948,0.00105948,0.00105948
13,2765.47,0.56497,0.74675,1.05399,0.99074,0.96951,0.98052,0.89313,0.48851,0.62879,0.99389,0.00104944,0.00104944,0.00104944
14,2978.31,0.54093,0.71872,1.04599,0.98898,0.9741,0.98057,0.89159,0.49772,0.64058,0.99341,0.0010394,0.0010394,0.0010394
15,3190.34,0.54354,0.72333,1.04977,0.98847,0.97647,0.98174,0.89932,0.48365,0.61015,0.99218,0.00102935,0.00102935,0.00102935
16,3401.71,0.53361,0.7015,1.04949,0.98847,0.97443,0.9826,0.89267,0.49243,0.60585,0.9937,0.00101931,0.00101931,0.00101931
17,3612.86,0.53088,0.69054,1.04178,0.98904,0.97548,0.98123,0.89063,0.48871,0.60121,0.99334,0.00100927,0.00100927,0.00100927
18,3824.45,0.53282,0.68585,1.04286,0.98859,0.97442,0.98293,0.89884,0.47612,0.58678,0.99197,0.000999222,0.000999222,0.000999222
19,4036.41,0.52146,0.66899,1.03996,0.98739,0.97661,0.98263,0.89612,0.47165,0.58728,0.99095,0.000989178,0.000989178,0.000989178
20,4248.83,0.51591,0.66729,1.03387,0.9894,0.97688,0.98366,0.89944,0.46845,0.57209,0.98993,0.000979134,0.000979134,0.000979134
21,4459.89,0.51619,0.65355,1.04103,0.98751,0.98028,0.98219,0.90169,0.46606,0.56532,0.98897,0.000969091,0.000969091,0.000969091
22,4670.87,0.51527,0.64741,1.04039,0.98712,0.97922,0.98324,0.90283,0.46491,0.558,0.98931,0.000959047,0.000959047,0.000959047
23,4882.56,0.50082,0.64493,1.03537,0.9883,0.97772,0.98356,0.90496,0.45951,0.5563,0.98875,0.000949003,0.000949003,0.000949003
24,5094.15,0.50651,0.6397,1.03717,0.99155,0.97459,0.98377,0.90672,0.45522,0.54782,0.98706,0.000938959,0.000938959,0.000938959
25,5306.72,0.5057,0.63333,1.03508,0.99272,0.97605,0.98409,0.90514,0.45523,0.5481,0.98629,0.000928916,0.000928916,0.000928916
26,5520.8,0.49541,0.62983,1.03839,0.99092,0.98034,0.98525,0.90834,0.45245,0.54217,0.98785,0.000918872,0.000918872,0.000918872
27,5732.61,0.5013,0.62504,1.03394,0.99211,0.97859,0.98541,0.90363,0.45224,0.54142,0.98734,0.000908828,0.000908828,0.000908828
28,5944.47,0.49361,0.6147,1.03463,0.9912,0.97799,0.98442,0.91062,0.44464,0.53569,0.98738,0.000898784,0.000898784,0.000898784
29,6157.33,0.49749,0.61331,1.03559,0.99074,0.97795,0.98448,0.90553,0.45482,0.52502,0.98783,0.000888741,0.000888741,0.000888741
30,6369.35,0.48966,0.60307,1.037,0.99195,0.97698,0.98432,0.90637,0.44198,0.52122,0.98589,0.000878697,0.000878697,0.000878697
31,6579.78,0.48732,0.6047,1.03598,0.98973,0.9805,0.98445,0.90511,0.45393,0.519,0.98633,0.000868653,0.000868653,0.000868653
32,6790.55,0.48332,0.5937,1.03447,0.98928,0.97984,0.9845,0.90722,0.44911,0.51648,0.98605,0.000858609,0.000858609,0.000858609
33,7002.63,0.48576,0.58787,1.03738,0.99076,0.98311,0.98478,0.90791,0.44747,0.51385,0.98544,0.000848566,0.000848566,0.000848566
34,7216.19,0.47697,0.58502,1.03416,0.9904,0.98027,0.98425,0.90946,0.43988,0.50609,0.98436,0.000838522,0.000838522,0.000838522
35,7428.49,0.48325,0.58087,1.0352,0.99482,0.97702,0.98436,0.91003,0.44704,0.50535,0.98566,0.000828478,0.000828478,0.000828478
36,7640.57,0.47997,0.56977,1.03283,0.99485,0.97687,0.98453,0.91036,0.44111,0.50588,0.9845,0.000818434,0.000818434,0.000818434
37,7853,0.47766,0.57223,1.02781,0.99559,0.97616,0.9845,0.91276,0.43839,0.49731,0.98416,0.000808391,0.000808391,0.000808391
38,8066.65,0.46646,0.56407,1.02773,0.99172,0.98249,0.98511,0.90869,0.43967,0.50082,0.9849,0.000798347,0.000798347,0.000798347
39,8279.88,0.4758,0.57242,1.02845,0.99048,0.98357,0.98532,0.91177,0.43779,0.49698,0.98544,0.000788303,0.000788303,0.000788303
40,8491.33,0.4717,0.5679,1.02959,0.98925,0.98309,0.9857,0.91497,0.43396,0.48676,0.98414,0.000778259,0.000778259,0.000778259
41,8703.75,0.4622,0.56015,1.0269,0.99535,0.97852,0.9859,0.90996,0.43639,0.489,0.98255,0.000768216,0.000768216,0.000768216
42,8915.03,0.47141,0.55924,1.02967,0.99027,0.98181,0.98593,0.90917,0.44018,0.48701,0.98234,0.000758172,0.000758172,0.000758172
43,9127.81,0.45911,0.54768,1.02566,0.99301,0.98054,0.98608,0.9122,0.43511,0.48528,0.9814,0.000748128,0.000748128,0.000748128
44,9340.82,0.46728,0.54622,1.02868,0.99101,0.98373,0.9864,0.91498,0.43021,0.48252,0.98031,0.000738084,0.000738084,0.000738084
45,9553.83,0.46615,0.54535,1.03078,0.99019,0.98249,0.98617,0.91114,0.43804,0.48112,0.98187,0.000728041,0.000728041,0.000728041
46,9766.33,0.45713,0.54137,1.02927,0.9903,0.98181,0.98642,0.91243,0.4325,0.47716,0.98231,0.000717997,0.000717997,0.000717997
47,9979.33,0.46204,0.53981,1.03017,0.99003,0.98207,0.9865,0.91522,0.42797,0.47289,0.98244,0.000707953,0.000707953,0.000707953
48,10194.5,0.45428,0.55145,1.02432,0.98863,0.98269,0.9868,0.9166,0.42133,0.47034,0.98063,0.000697909,0.000697909,0.000697909
49,10407.3,0.46174,0.53813,1.03298,0.99545,0.97845,0.98781,0.91422,0.43223,0.47468,0.98156,0.000687865,0.000687865,0.000687865
50,10619.3,0.45312,0.52887,1.03003,0.99558,0.9792,0.98767,0.91534,0.42254,0.47156,0.98141,0.000677822,0.000677822,0.000677822
51,10832.6,0.45808,0.53776,1.02757,0.99557,0.97905,0.98763,0.91496,0.42937,0.47055,0.98185,0.000667778,0.000667778,0.000667778
52,11046.3,0.46053,0.532,1.03207,0.99102,0.9825,0.98703,0.91266,0.4284,0.46863,0.98164,0.000657734,0.000657734,0.000657734
53,11259.9,0.4534,0.52766,1.02741,0.99126,0.98331,0.98714,0.91606,0.42542,0.46269,0.98084,0.00064769,0.00064769,0.00064769
54,11473.9,0.45865,0.53018,1.03463,0.98991,0.9837,0.98919,0.91448,0.42239,0.46159,0.97989,0.000637647,0.000637647,0.000637647
55,11687.6,0.45897,0.52496,1.03012,0.99039,0.98277,0.98669,0.91875,0.42059,0.45656,0.98098,0.000627603,0.000627603,0.000627603
56,11901.6,0.443,0.51267,1.02672,0.99057,0.98246,0.98656,0.91419,0.42092,0.45582,0.98162,0.000617559,0.000617559,0.000617559
57,12114,0.44838,0.5197,1.02581,0.99462,0.97821,0.98732,0.91359,0.42444,0.45871,0.98233,0.000607515,0.000607515,0.000607515
58,12328.1,0.45036,0.5199,1.02925,0.99254,0.98374,0.98902,0.91134,0.43143,0.45714,0.98274,0.000597472,0.000597472,0.000597472
59,12542,0.44641,0.51313,1.0288,0.99222,0.98346,0.98823,0.91368,0.43496,0.45809,0.98242,0.000587428,0.000587428,0.000587428
60,12756.4,0.44438,0.51589,1.02836,0.99242,0.98438,0.98873,0.91409,0.42588,0.45355,0.9812,0.000577384,0.000577384,0.000577384
61,12969.9,0.43504,0.50978,1.02155,0.99553,0.97833,0.98974,0.91458,0.42794,0.45162,0.98102,0.00056734,0.00056734,0.00056734
62,13183.3,0.4445,0.50955,1.02582,0.99312,0.98172,0.98827,0.91569,0.41923,0.45114,0.98052,0.000557297,0.000557297,0.000557297
63,13396.2,0.43334,0.50529,1.0254,0.99258,0.98387,0.98989,0.9164,0.42222,0.45229,0.98058,0.000547253,0.000547253,0.000547253
64,13610.4,0.43385,0.50772,1.02587,0.99152,0.98506,0.98847,0.9159,0.41916,0.44703,0.98017,0.000537209,0.000537209,0.000537209
65,13824.1,0.44356,0.50607,1.03032,0.9927,0.98376,0.98856,0.91867,0.41987,0.44668,0.98091,0.000527165,0.000527165,0.000527165
66,14039.2,0.43259,0.50322,1.02591,0.99664,0.97918,0.98816,0.91958,0.41796,0.44383,0.97968,0.000517122,0.000517122,0.000517122
67,14253.3,0.43361,0.50352,1.03129,0.9947,0.9814,0.98811,0.91728,0.41999,0.44384,0.97873,0.000507078,0.000507078,0.000507078
68,14467.6,0.43786,0.50225,1.0286,0.99142,0.98434,0.98969,0.91563,0.42012,0.44,0.97872,0.000497034,0.000497034,0.000497034
69,14681.2,0.43548,0.49947,1.0297,0.99139,0.98428,0.98831,0.91957,0.412,0.43559,0.97871,0.00048699,0.00048699,0.00048699
70,14894.9,0.44387,0.50457,1.02959,0.99109,0.98416,0.98827,0.91753,0.41619,0.43918,0.98006,0.000476947,0.000476947,0.000476947
71,15109.8,0.43194,0.49363,1.02189,0.993,0.98327,0.98997,0.91838,0.41623,0.43994,0.97969,0.000466903,0.000466903,0.000466903
72,15322.6,0.43716,0.49024,1.02745,0.9938,0.98493,0.98999,0.92083,0.41344,0.43735,0.97915,0.000456859,0.000456859,0.000456859
73,15537.2,0.43008,0.48597,1.02317,0.99486,0.98458,0.99136,0.91906,0.41344,0.43555,0.97884,0.000446815,0.000446815,0.000446815
74,15752.1,0.4321,0.48826,1.0249,0.99328,0.98459,0.98828,0.91536,0.41705,0.43588,0.97871,0.000436772,0.000436772,0.000436772
75,15966.1,0.42793,0.48874,1.01971,0.99343,0.98253,0.99056,0.91772,0.41592,0.43423,0.97813,0.000426728,0.000426728,0.000426728
76,16182.1,0.42231,0.47876,1.02296,0.9929,0.98462,0.99061,0.91988,0.41255,0.43016,0.9784,0.000416684,0.000416684,0.000416684
77,16396.5,0.42619,0.48149,1.02932,0.99419,0.98405,0.99112,0.92292,0.41212,0.42717,0.97805,0.00040664,0.00040664,0.00040664
78,16612,0.43215,0.48382,1.02486,0.99573,0.98013,0.99133,0.92295,0.41285,0.42729,0.97754,0.000396597,0.000396597,0.000396597
79,16827.5,0.42492,0.47836,1.02136,0.99529,0.98135,0.99158,0.92052,0.40593,0.42704,0.97763,0.000386553,0.000386553,0.000386553
80,17043.3,0.42802,0.48449,1.0287,0.9932,0.98172,0.99107,0.92251,0.40994,0.43061,0.97765,0.000376509,0.000376509,0.000376509
81,17257.6,0.42483,0.47959,1.02815,0.99527,0.98282,0.99008,0.92157,0.41072,0.42895,0.97804,0.000366465,0.000366465,0.000366465
82,17472.2,0.42508,0.48179,1.02774,0.99564,0.98212,0.99163,0.92108,0.40804,0.42477,0.97774,0.000356422,0.000356422,0.000356422
83,17688.1,0.42918,0.48441,1.02372,0.99502,0.98631,0.99146,0.92213,0.41061,0.42558,0.97761,0.000346378,0.000346378,0.000346378
84,17903,0.43462,0.48162,1.02547,0.99498,0.98644,0.99175,0.92099,0.40855,0.42555,0.9766,0.000336334,0.000336334,0.000336334
85,18119.2,0.41902,0.47461,1.02528,0.99668,0.98575,0.99181,0.91998,0.40607,0.42369,0.97735,0.00032629,0.00032629,0.00032629
86,18334.3,0.42579,0.47767,1.0259,0.99435,0.98419,0.99102,0.92276,0.40718,0.42317,0.97715,0.000316246,0.000316246,0.000316246
87,18549.8,0.421,0.47557,1.02655,0.99746,0.98486,0.99151,0.92017,0.40794,0.42638,0.97755,0.000306203,0.000306203,0.000306203
88,18764.4,0.4149,0.46657,1.01636,0.99646,0.98469,0.99195,0.92055,0.40563,0.42553,0.97736,0.000296159,0.000296159,0.000296159
89,18980.6,0.42067,0.47018,1.0255,0.99226,0.98737,0.99184,0.92038,0.40526,0.42076,0.97776,0.000286115,0.000286115,0.000286115
