epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.204,0.64495,1.06335,0.72411,0.96475,0.95897,0.97857,0.82581,0.55216,0.61427,0.67644,0.000860152,0.000860152,0.0677206
2,475.183,0.55911,0.57496,0.71183,0.98394,0.97478,0.98318,0.83303,0.509,0.47326,0.66979,0.00170836,0.00170836,0.0352355
3,706.647,0.5402,0.5214,0.70574,0.9849,0.97425,0.98524,0.84527,0.52386,0.47885,0.67383,0.00253955,0.00253955,0.00273335
4,943.095,0.51647,0.48655,0.70224,0.99193,0.97029,0.9836,0.86301,0.45514,0.41928,0.66336,0.00251895,0.00251895,0.00251895
5,1175.6,0.51996,0.46368,0.70064,0.9874,0.9762,0.98563,0.85224,0.46794,0.41177,0.66267,0.00249341,0.00249341,0.00249341
6,1408.73,0.48085,0.4212,0.69958,0.98866,0.9801,0.98339,0.86801,0.4376,0.3868,0.65905,0.00246788,0.00246788,0.00246788
7,1641.29,0.48551,0.4162,0.6946,0.98851,0.97557,0.98631,0.86091,0.46506,0.39405,0.66668,0.00244234,0.00244234,0.00244234
8,1878.27,0.44781,0.39047,0.68624,0.99682,0.97683,0.98682,0.88455,0.41103,0.358,0.6556,0.00241681,0.00241681,0.00241681
9,2110.11,0.43749,0.38347,0.68435,0.98886,0.98531,0.9874,0.87652,0.41925,0.36041,0.65416,0.00239128,0.00239128,0.00239128
10,2342.7,0.43565,0.3746,0.68419,0.99066,0.98242,0.98588,0.87095,0.44031,0.34324,0.65892,0.00236574,0.00236574,0.00236574
11,2575.8,0.44033,0.36466,0.6863,0.99571,0.9807,0.98696,0.87925,0.41652,0.33222,0.65655,0.00234021,0.00234021,0.00234021
12,2814.1,0.41865,0.34828,0.68116,0.9869,0.98205,0.98806,0.89078,0.38998,0.3222,0.64935,0.00231468,0.00231468,0.00231468
13,3046.57,0.42827,0.34909,0.6899,0.99598,0.97722,0.98651,0.88811,0.4005,0.31463,0.65202,0.00228914,0.00228914,0.00228914
14,3279.22,0.41711,0.3449,0.68451,0.99187,0.98326,0.99177,0.89816,0.3752,0.31008,0.64862,0.00226361,0.00226361,0.00226361
15,3512.39,0.41023,0.33509,0.68789,0.99361,0.98273,0.99144,0.89587,0.39764,0.31954,0.65196,0.00223807,0.00223807,0.00223807
16,3750.36,0.41113,0.33485,0.68335,0.9872,0.98267,0.98858,0.89699,0.3823,0.31314,0.64873,0.00221254,0.00221254,0.00221254
17,3982.79,0.40848,0.33221,0.68146,0.99253,0.98569,0.98864,0.89567,0.37608,0.29929,0.64984,0.00218701,0.00218701,0.00218701
18,4219.37,0.3947,0.32674,0.68037,0.9916,0.98715,0.99222,0.90045,0.37778,0.30642,0.64631,0.00216147,0.00216147,0.00216147
