epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.232,0.60775,1.36958,0.89836,0.97896,0.94814,0.9718,0.83586,0.48565,0.81632,0.82306,0.000395903,0.000395903,0.0672564
2,463.31,0.51156,0.68484,0.87242,0.99173,0.97359,0.98254,0.85912,0.45685,0.59783,0.82286,0.000786442,0.000786442,0.0343136
3,695.07,0.50199,0.62094,0.86594,0.98341,0.96718,0.97997,0.84364,0.49744,0.62305,0.82774,0.00116928,0.00116928,0.00136308
4,922.237,0.48019,0.57264,0.86202,0.98875,0.97889,0.98443,0.8695,0.43597,0.50695,0.81914,0.00116,0.00116,0.00116
5,1155.63,0.4577,0.52533,0.8629,0.98846,0.97785,0.98255,0.87304,0.43521,0.47696,0.82149,0.00114845,0.00114845,0.00114845
6,1384.47,0.46151,0.51357,0.86511,0.99083,0.97827,0.98446,0.87025,0.42013,0.48837,0.8183,0.00113689,0.00113689,0.00113689
7,1613.59,0.4414,0.49456,0.85924,0.9924,0.97467,0.98366,0.88061,0.4157,0.45942,0.81699,0.00112534,0.00112534,0.00112534
8,1843.75,0.41958,0.47276,0.85272,0.99086,0.9806,0.98318,0.88365,0.40573,0.4482,0.81359,0.00111379,0.00111379,0.00111379
9,2093.46,0.41482,0.46652,0.85781,0.99326,0.98,0.98495,0.88516,0.3857,0.41803,0.81064,0.00110223,0.00110223,0.00110223
10,2343.05,0.41302,0.44846,0.84943,0.98702,0.98108,0.98493,0.88276,0.40153,0.41037,0.81278,0.00109068,0.00109068,0.00109068
11,2591.09,0.40829,0.4422,0.84876,0.99178,0.98054,0.98419,0.89008,0.39172,0.41152,0.81197,0.00107913,0.00107913,0.00107913
12,2841.87,0.39439,0.43429,0.84537,0.99276,0.98632,0.98731,0.89588,0.38326,0.40881,0.80899,0.00106758,0.00106758,0.00106758
13,3090.05,0.38955,0.42363,0.84628,0.99545,0.9842,0.99082,0.89303,0.38141,0.39977,0.80751,0.00105602,0.00105602,0.00105602
14,3338.17,0.38534,0.40913,0.84496,0.99142,0.98387,0.98668,0.89885,0.37629,0.38766,0.80877,0.00104447,0.00104447,0.00104447
15,3586.63,0.38041,0.40552,0.84204,0.99162,0.98526,0.98886,0.89778,0.3635,0.37063,0.80631,0.00103292,0.00103292,0.00103292
16,3813.79,0.37839,0.40204,0.84345,0.99206,0.97976,0.98698,0.90419,0.35877,0.37503,0.80637,0.00102137,0.00102137,0.00102137
17,4048.83,0.38804,0.39998,0.84639,0.98937,0.98442,0.98785,0.90449,0.36154,0.36908,0.80684,0.00100981,0.00100981,0.00100981
18,4297.56,0.38095,0.39651,0.84467,0.99178,0.98134,0.98817,0.90081,0.37124,0.37166,0.80691,0.000998261,0.000998261,0.000998261
19,4545.4,0.3717,0.38386,0.84287,0.99065,0.98423,0.98859,0.90681,0.35925,0.35676,0.80381,0.000986709,0.000986709,0.000986709
20,4790.52,0.37146,0.38275,0.83963,0.99495,0.9804,0.99018,0.89879,0.37087,0.37486,0.80835,0.000975156,0.000975156,0.000975156
