epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.813,1.01188,4.56189,1.09393,0.6683,0.07957,0.3373,0.27469,0.78707,3.94731,0.96743,0.000394612,0.000394612,0.0672551
2,437.638,0.78343,3.01993,1.01314,0.54415,0.72617,0.69524,0.59666,0.66187,1.92317,0.92617,0.000784647,0.000784647,0.0343118
3,655.832,0.7096,1.7437,0.97614,0.91592,0.89348,0.93195,0.81216,0.61847,1.18337,0.90685,0.00116778,0.00116778,0.00136158
4,873.165,0.65582,1.2593,0.95755,0.94858,0.93277,0.9584,0.84569,0.56076,0.96735,0.89423,0.00115969,0.00115969,0.00115969
5,1091.25,0.61002,1.0931,0.94152,0.97429,0.94806,0.97103,0.86255,0.54379,0.87423,0.89049,0.00114933,0.00114933,0.00114933
6,1309.62,0.5767,0.98281,0.93916,0.97398,0.95755,0.97574,0.87094,0.52015,0.82329,0.8879,0.00113898,0.00113898,0.00113898
7,1527.5,0.56783,0.92741,0.93462,0.98334,0.96272,0.97698,0.8787,0.49853,0.7856,0.88323,0.00112862,0.00112862,0.00112862
8,1746.94,0.55529,0.88283,0.93275,0.98803,0.96227,0.97975,0.87857,0.50255,0.75859,0.88215,0.00111826,0.00111826,0.00111826
9,1966.23,0.5353,0.85276,0.93151,0.98999,0.96359,0.97855,0.87994,0.48867,0.74688,0.88207,0.00110791,0.00110791,0.00110791
10,2184.38,0.5273,0.84068,0.93184,0.98428,0.96918,0.98045,0.88658,0.47244,0.71774,0.87838,0.00109755,0.00109755,0.00109755
11,2403.1,0.52078,0.81189,0.92668,0.98547,0.96889,0.98105,0.88767,0.4747,0.70529,0.87913,0.00108719,0.00108719,0.00108719
12,2621.73,0.51255,0.78922,0.92444,0.98972,0.96591,0.98067,0.88352,0.4817,0.70493,0.87915,0.00107684,0.00107684,0.00107684
