epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.569,0.70533,0.89256,0.82479,0.97698,0.95154,0.96879,0.82172,0.61727,0.46021,0.76739,0.000691356,0.000691356,0.0675518
2,529.791,0.61223,0.4562,0.80272,0.98527,0.96193,0.97832,0.83191,0.59649,0.40991,0.77497,0.00137492,0.00137492,0.0349021
3,755.332,0.57913,0.40764,0.80014,0.97586,0.97303,0.97898,0.85382,0.54753,0.37082,0.75939,0.00204662,0.00204662,0.00224042
4,981.817,0.57142,0.39086,0.8021,0.98897,0.97533,0.98351,0.86206,0.53364,0.35658,0.76426,0.00203279,0.00203279,0.00203279
5,1212.6,0.52695,0.34915,0.78972,0.98856,0.97717,0.98504,0.87887,0.48802,0.3186,0.75315,0.00201499,0.00201499,0.00201499
6,1464.56,0.50337,0.32417,0.78777,0.98506,0.97607,0.98311,0.8764,0.49934,0.30749,0.75409,0.00199719,0.00199719,0.00199719
7,1708.41,0.50094,0.31677,0.78525,0.99063,0.97874,0.98577,0.8746,0.49506,0.30003,0.74893,0.00197939,0.00197939,0.00197939
8,1958.46,0.49062,0.30931,0.78306,0.98829,0.97977,0.98572,0.88184,0.48293,0.28887,0.74789,0.00196159,0.00196159,0.00196159
9,2202.14,0.48469,0.29842,0.78237,0.98935,0.98128,0.98684,0.87997,0.47319,0.2856,0.7474,0.00194379,0.00194379,0.00194379
10,2445.98,0.46542,0.29042,0.78033,0.99211,0.98144,0.9891,0.87966,0.46036,0.26737,0.74751,0.00192599,0.00192599,0.00192599
11,2679.44,0.46372,0.28326,0.78361,0.99167,0.97937,0.98874,0.89596,0.44121,0.26721,0.74282,0.00190819,0.00190819,0.00190819
12,2912.25,0.4605,0.28075,0.77733,0.99353,0.97809,0.98935,0.88402,0.44217,0.25803,0.74292,0.00189038,0.00189038,0.00189038
13,3144.87,0.45969,0.27607,0.78308,0.98815,0.98688,0.98989,0.89005,0.44809,0.2605,0.7469,0.00187258,0.00187258,0.00187258
14,3377.5,0.44223,0.26591,0.77741,0.9945,0.98502,0.98931,0.89744,0.43121,0.25082,0.74302,0.00185478,0.00185478,0.00185478
15,3611.77,0.43644,0.25876,0.77605,0.99183,0.98236,0.98915,0.90144,0.42869,0.24672,0.73997,0.00183698,0.00183698,0.00183698
16,3847.51,0.43506,0.26005,0.77634,0.99233,0.98569,0.98889,0.89746,0.43623,0.25173,0.74224,0.00181918,0.00181918,0.00181918
17,4079.33,0.4345,0.25557,0.77855,0.98307,0.9897,0.98936,0.90244,0.43027,0.24289,0.74237,0.00180138,0.00180138,0.00180138
18,4313.11,0.42002,0.24845,0.7738,0.99268,0.98555,0.99014,0.90088,0.43196,0.24058,0.7397,0.00178358,0.00178358,0.00178358
19,4547.77,0.42517,0.24937,0.77507,0.99224,0.98527,0.98939,0.90327,0.41578,0.23413,0.73694,0.00176578,0.00176578,0.00176578
20,4781.69,0.43355,0.24753,0.77428,0.99243,0.9805,0.98853,0.89948,0.41765,0.22774,0.74068,0.00174798,0.00174798,0.00174798
21,5015.12,0.42734,0.24183,0.77656,0.9847,0.98271,0.99045,0.90646,0.40728,0.22508,0.73769,0.00173017,0.00173017,0.00173017
22,5249.29,0.41687,0.23574,0.77241,0.9901,0.98585,0.99243,0.90973,0.40546,0.22103,0.73655,0.00171237,0.00171237,0.00171237
23,5480.59,0.4148,0.24062,0.77419,0.98904,0.98791,0.98961,0.90629,0.41102,0.2348,0.73801,0.00169457,0.00169457,0.00169457
24,5710.19,0.4041,0.2346,0.77203,0.9923,0.98472,0.99258,0.90452,0.40722,0.23373,0.73986,0.00167677,0.00167677,0.00167677
25,5940.44,0.41405,0.23935,0.77565,0.99531,0.98313,0.99222,0.91158,0.4002,0.2252,0.73822,0.00165897,0.00165897,0.00165897
26,6168.98,0.41004,0.23751,0.77273,0.98602,0.99279,0.99447,0.90419,0.40559,0.22385,0.73707,0.00164117,0.00164117,0.00164117
27,6400.82,0.39907,0.23169,0.77001,0.99165,0.98926,0.99239,0.91027,0.39443,0.22256,0.73657,0.00162337,0.00162337,0.00162337
28,6633.33,0.38929,0.22186,0.76854,0.99169,0.98768,0.99285,0.91464,0.38238,0.20853,0.73401,0.00160557,0.00160557,0.00160557
29,6865.35,0.40148,0.22411,0.77063,0.99194,0.98956,0.9942,0.90956,0.39363,0.21283,0.73593,0.00158777,0.00158777,0.00158777
30,7098.23,0.3869,0.22213,0.76454,0.98851,0.99172,0.99256,0.91398,0.38748,0.21019,0.7358,0.00156996,0.00156996,0.00156996
31,7330.13,0.38072,0.21464,0.76475,0.99275,0.98918,0.99437,0.91473,0.38507,0.2061,0.7344,0.00155216,0.00155216,0.00155216
32,7558.88,0.38869,0.22048,0.77139,0.99403,0.98595,0.99268,0.91578,0.38489,0.20893,0.73429,0.00153436,0.00153436,0.00153436
33,7797.36,0.38537,0.21938,0.76873,0.99414,0.98966,0.99281,0.91675,0.38244,0.20726,0.7337,0.00151656,0.00151656,0.00151656
34,8045.41,0.37864,0.21493,0.76824,0.99125,0.98885,0.99414,0.91801,0.37628,0.2035,0.73265,0.00149876,0.00149876,0.00149876
35,8285.3,0.37889,0.21132,0.76514,0.98641,0.99072,0.9928,0.91481,0.39191,0.2105,0.7356,0.00148096,0.00148096,0.00148096
36,8513.45,0.37946,0.21628,0.76585,0.99013,0.98973,0.99274,0.91814,0.38028,0.2034,0.73282,0.00146316,0.00146316,0.00146316
37,8748.74,0.37304,0.21155,0.7651,0.99448,0.98461,0.9932,0.91613,0.38084,0.20141,0.73316,0.00144536,0.00144536,0.00144536
38,8977.94,0.37847,0.20998,0.76786,0.99529,0.98276,0.99127,0.91548,0.37504,0.20378,0.73277,0.00142755,0.00142755,0.00142755
39,9210.53,0.38221,0.20883,0.76515,0.99519,0.98492,0.99319,0.9118,0.38163,0.20143,0.73293,0.00140975,0.00140975,0.00140975
40,9438.27,0.37823,0.20495,0.76386,0.98646,0.99298,0.99271,0.91681,0.37939,0.20096,0.73356,0.00139195,0.00139195,0.00139195
41,9665.18,0.37669,0.20628,0.76608,0.99026,0.98955,0.99232,0.91443,0.37545,0.199,0.73201,0.00137415,0.00137415,0.00137415
42,9897.54,0.37044,0.20075,0.7674,0.99397,0.98615,0.99259,0.91543,0.37932,0.19681,0.73193,0.00135635,0.00135635,0.00135635
43,10125.3,0.37363,0.20566,0.76807,0.98934,0.98843,0.99262,0.91434,0.38422,0.1973,0.73377,0.00133855,0.00133855,0.00133855
44,10361.7,0.37686,0.20832,0.76863,0.98758,0.98833,0.99261,0.91961,0.36648,0.19689,0.73101,0.00132075,0.00132075,0.00132075
45,10593.9,0.37044,0.20377,0.7654,0.98993,0.99163,0.9928,0.92415,0.36019,0.19303,0.72987,0.00130295,0.00130295,0.00130295
46,10825.4,0.36695,0.20237,0.76479,0.99025,0.99283,0.99262,0.9201,0.37601,0.1941,0.73068,0.00128515,0.00128515,0.00128515
47,11058.7,0.35772,0.19825,0.76035,0.98498,0.99024,0.99279,0.92329,0.36545,0.18836,0.73128,0.00126734,0.00126734,0.00126734
48,11289.3,0.35127,0.19779,0.76253,0.99465,0.9878,0.99297,0.92632,0.35729,0.18703,0.73089,0.00124954,0.00124954,0.00124954
49,11516.9,0.35539,0.19636,0.76355,0.98927,0.98914,0.99262,0.91992,0.37079,0.19065,0.73078,0.00123174,0.00123174,0.00123174
50,11744.6,0.36395,0.19968,0.76501,0.99343,0.9903,0.9926,0.92269,0.37073,0.19375,0.73171,0.00121394,0.00121394,0.00121394
51,11970.2,0.3635,0.1992,0.76622,0.99186,0.98575,0.99279,0.9265,0.35763,0.18792,0.72975,0.00119614,0.00119614,0.00119614
52,12202.7,0.35457,0.19425,0.76423,0.99525,0.98369,0.99453,0.92399,0.35681,0.18419,0.7301,0.00117834,0.00117834,0.00117834
53,12436.9,0.34709,0.19203,0.76287,0.99196,0.99011,0.99263,0.92291,0.35511,0.18489,0.7307,0.00116054,0.00116054,0.00116054
54,12662.7,0.34753,0.18888,0.7619,0.99492,0.98424,0.99279,0.92542,0.35871,0.18617,0.72961,0.00114274,0.00114274,0.00114274
55,12895.7,0.35202,0.18837,0.76438,0.99703,0.98663,0.99292,0.92728,0.34767,0.18187,0.72861,0.00112493,0.00112493,0.00112493
56,13124.9,0.34983,0.18858,0.76182,0.99378,0.99324,0.99377,0.92811,0.35188,0.18397,0.72847,0.00110713,0.00110713,0.00110713
57,13353.8,0.34897,0.18809,0.762,0.98994,0.99389,0.99427,0.92644,0.35216,0.18239,0.72942,0.00108933,0.00108933,0.00108933
58,13583,0.35101,0.19124,0.76423,0.98809,0.99233,0.99419,0.92303,0.35731,0.18437,0.72902,0.00107153,0.00107153,0.00107153
59,13813.2,0.3547,0.19246,0.76395,0.99462,0.98799,0.99456,0.92494,0.35191,0.1832,0.72991,0.00105373,0.00105373,0.00105373
60,14050,0.34576,0.18954,0.75965,0.98857,0.99297,0.99462,0.92702,0.34957,0.18299,0.72943,0.00103593,0.00103593,0.00103593
61,14278.5,0.34012,0.18585,0.75819,0.98865,0.99472,0.99424,0.92574,0.35097,0.18093,0.7296,0.00101813,0.00101813,0.00101813
62,14509.5,0.34954,0.18786,0.76332,0.99186,0.99247,0.99435,0.92728,0.35179,0.17881,0.72981,0.00100033,0.00100033,0.00100033
63,14744.7,0.33599,0.18178,0.7612,0.99102,0.9913,0.99292,0.93152,0.34072,0.17524,0.72815,0.000982525,0.000982525,0.000982525
64,14978.4,0.33064,0.17847,0.76013,0.99255,0.99399,0.99445,0.93077,0.34129,0.17177,0.72686,0.000964724,0.000964724,0.000964724
65,15206.6,0.33157,0.18135,0.76271,0.9867,0.9973,0.99438,0.92547,0.35422,0.17887,0.72861,0.000946923,0.000946923,0.000946923
66,15434.6,0.33124,0.17977,0.75993,0.99531,0.98326,0.99414,0.92675,0.34508,0.17683,0.72748,0.000929122,0.000929122,0.000929122
67,15662.7,0.31869,0.17741,0.7605,0.99383,0.9893,0.99437,0.93073,0.34383,0.17368,0.72612,0.000911321,0.000911321,0.000911321
68,15890.7,0.329,0.17785,0.76418,0.98959,0.99416,0.99448,0.93024,0.34372,0.1737,0.72807,0.00089352,0.00089352,0.00089352
69,16119.4,0.33144,0.1783,0.75922,0.99237,0.9911,0.9945,0.93042,0.34237,0.17482,0.72751,0.000875718,0.000875718,0.000875718
70,16347.3,0.32567,0.17689,0.76053,0.99256,0.98641,0.9944,0.93054,0.34259,0.17463,0.72758,0.000857917,0.000857917,0.000857917
71,16577.1,0.32985,0.17981,0.75785,0.99392,0.99257,0.99467,0.93018,0.34453,0.17428,0.7274,0.000840116,0.000840116,0.000840116
72,16809,0.32395,0.17815,0.75947,0.99473,0.98869,0.99468,0.93287,0.33981,0.1724,0.72673,0.000822315,0.000822315,0.000822315
73,17051.5,0.32452,0.17401,0.75598,0.99705,0.9882,0.99431,0.92827,0.34349,0.17128,0.72788,0.000804514,0.000804514,0.000804514
74,17298.6,0.32373,0.17247,0.75819,0.98864,0.98994,0.99418,0.93144,0.33494,0.16764,0.72724,0.000786713,0.000786713,0.000786713
75,17516.4,0.33113,0.1767,0.76137,0.99333,0.98939,0.99444,0.92908,0.34682,0.1735,0.72838,0.000768911,0.000768911,0.000768911
76,17734.3,0.32475,0.1734,0.75815,0.99385,0.99615,0.99469,0.93122,0.33723,0.17113,0.72661,0.00075111,0.00075111,0.00075111
77,17951.1,0.31355,0.16886,0.75588,0.99113,0.99771,0.99471,0.92978,0.3378,0.16792,0.7266,0.000733309,0.000733309,0.000733309
78,18169.2,0.32042,0.17159,0.76078,0.99317,0.98867,0.9944,0.9312,0.34173,0.17061,0.72849,0.000715508,0.000715508,0.000715508
79,18386.9,0.32365,0.17295,0.75657,0.99238,0.98998,0.99451,0.92778,0.34669,0.17225,0.72804,0.000697707,0.000697707,0.000697707
80,18604.1,0.32623,0.17136,0.75842,0.99207,0.98419,0.99437,0.92746,0.34148,0.17399,0.72812,0.000679906,0.000679906,0.000679906
81,18820.4,0.31633,0.16738,0.7549,0.99524,0.98565,0.99418,0.93268,0.33615,0.1668,0.72761,0.000662104,0.000662104,0.000662104
82,19037.4,0.31277,0.16831,0.76494,0.99242,0.98993,0.99448,0.93213,0.33186,0.16573,0.72733,0.000644303,0.000644303,0.000644303
83,19253.9,0.30882,0.16578,0.75617,0.9941,0.99386,0.99471,0.93103,0.33785,0.16952,0.72664,0.000626502,0.000626502,0.000626502
84,19471.4,0.31188,0.16478,0.7576,0.99121,0.99482,0.99463,0.93232,0.33074,0.16746,0.72589,0.000608701,0.000608701,0.000608701
85,19689.3,0.31474,0.1673,0.75654,0.99218,0.98887,0.99273,0.93148,0.33202,0.16535,0.72638,0.0005909,0.0005909,0.0005909
