epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.317,0.74437,0.87784,1.00748,0.95564,0.93611,0.96221,0.83226,0.55401,0.45541,0.91866,0.000359576,0.000359576,0.06722
2,444.478,0.60671,0.40902,0.97582,0.98292,0.96921,0.97681,0.85755,0.53095,0.3446,0.91837,0.000714813,0.000714813,0.0342419
3,666.119,0.56939,0.3539,0.9685,0.98908,0.96285,0.97982,0.86129,0.50777,0.30276,0.91338,0.00106359,0.00106359,0.00125739
4,887.187,0.56921,0.33873,0.97181,0.98591,0.97729,0.98041,0.86675,0.49567,0.29902,0.90566,0.00105596,0.00105596,0.00105596
5,1109.12,0.52697,0.3068,0.95797,0.98884,0.97379,0.97767,0.87544,0.46458,0.27545,0.90466,0.00104627,0.00104627,0.00104627
6,1339.38,0.52114,0.29493,0.95689,0.98889,0.97984,0.98266,0.88288,0.45273,0.25176,0.89614,0.00103658,0.00103658,0.00103658
7,1561.06,0.49977,0.28644,0.95141,0.98935,0.97616,0.98359,0.88109,0.44738,0.24393,0.89595,0.00102688,0.00102688,0.00102688
8,1782.51,0.50399,0.27259,0.94601,0.99034,0.98192,0.98494,0.88753,0.44234,0.23532,0.89591,0.00101719,0.00101719,0.00101719
9,2003.75,0.48158,0.25948,0.94979,0.99227,0.97884,0.98612,0.87711,0.45794,0.23066,0.90215,0.0010075,0.0010075,0.0010075
10,2225.93,0.47903,0.25336,0.94455,0.99229,0.97893,0.98672,0.89283,0.42349,0.22293,0.8903,0.000997808,0.000997808,0.000997808
11,2445.72,0.45781,0.24431,0.94349,0.99305,0.97832,0.98639,0.89457,0.43295,0.21834,0.88931,0.000988116,0.000988116,0.000988116
12,2665.17,0.45931,0.24252,0.94668,0.98901,0.98252,0.98653,0.89861,0.42078,0.2207,0.88974,0.000978424,0.000978424,0.000978424
13,2882.99,0.45997,0.24094,0.94262,0.99313,0.98048,0.98673,0.89821,0.40499,0.21441,0.89112,0.000968731,0.000968731,0.000968731
