epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.946,0.67284,0.78591,0.69309,0.96609,0.94876,0.97006,0.85448,0.51612,0.36904,0.63004,0.000371984,0.000371984,0.0672324
2,497.887,0.56324,0.37345,0.66556,0.98475,0.96041,0.9795,0.8553,0.50708,0.31829,0.62655,0.000739088,0.000739088,0.0342662
3,739.203,0.55229,0.33591,0.66244,0.98546,0.9713,0.98172,0.86669,0.52081,0.29938,0.63546,0.00109912,0.00109912,0.00129291
4,980.972,0.54717,0.31597,0.66279,0.98813,0.97046,0.98179,0.85711,0.49843,0.27712,0.62781,0.00109064,0.00109064,0.00109064
5,1221.11,0.49899,0.28277,0.65753,0.98977,0.97535,0.98285,0.86539,0.48108,0.26565,0.6261,0.00108002,0.00108002,0.00108002
6,1459.99,0.48988,0.27227,0.65459,0.98847,0.97876,0.9837,0.87003,0.48511,0.25581,0.62533,0.00106941,0.00106941,0.00106941
7,1698.19,0.48411,0.26615,0.65456,0.99149,0.97752,0.98374,0.88431,0.43697,0.2291,0.62036,0.00105879,0.00105879,0.00105879
8,1939.46,0.46365,0.25007,0.65091,0.98642,0.97925,0.98385,0.88095,0.45318,0.23482,0.62089,0.00104818,0.00104818,0.00104818
9,2188.8,0.45356,0.24036,0.64997,0.99165,0.97788,0.98578,0.89312,0.4191,0.21652,0.61747,0.00103756,0.00103756,0.00103756
10,2442.17,0.46291,0.23431,0.64783,0.993,0.98032,0.9837,0.87483,0.44999,0.21527,0.62019,0.00102695,0.00102695,0.00102695
11,2690.26,0.44893,0.23164,0.64613,0.99136,0.98073,0.98778,0.89727,0.4153,0.21217,0.61679,0.00101634,0.00101634,0.00101634
12,2934.52,0.43284,0.22694,0.64505,0.98761,0.98148,0.98813,0.90049,0.40587,0.20393,0.61449,0.00100572,0.00100572,0.00100572
13,3178.82,0.43486,0.22702,0.64647,0.99709,0.98028,0.99059,0.8913,0.43171,0.21528,0.61603,0.000995107,0.000995107,0.000995107
14,3427.65,0.42841,0.2184,0.64263,0.99429,0.98165,0.98578,0.9043,0.38405,0.19327,0.61319,0.000984493,0.000984493,0.000984493
15,3676.22,0.41872,0.21367,0.64512,0.99521,0.97672,0.987,0.90243,0.40184,0.19977,0.61479,0.000973879,0.000973879,0.000973879
16,3929.19,0.41698,0.21446,0.64536,0.99277,0.97933,0.98891,0.9057,0.38792,0.196,0.61376,0.000963264,0.000963264,0.000963264
17,4181.95,0.42051,0.2141,0.64803,0.98976,0.98058,0.98834,0.90598,0.38777,0.1945,0.61418,0.00095265,0.00095265,0.00095265
18,4434.54,0.40607,0.20584,0.64384,0.99251,0.98085,0.9869,0.90361,0.39407,0.19466,0.61345,0.000942036,0.000942036,0.000942036
19,4687.16,0.40668,0.20378,0.64355,0.99422,0.97938,0.98761,0.90606,0.3887,0.1881,0.61444,0.000931422,0.000931422,0.000931422
20,4945.08,0.40577,0.20178,0.64067,0.99368,0.9828,0.98938,0.90891,0.38512,0.18622,0.61209,0.000920807,0.000920807,0.000920807
21,5197.52,0.39782,0.20105,0.64131,0.98988,0.98172,0.98927,0.91295,0.37141,0.18219,0.61011,0.000910193,0.000910193,0.000910193
